
Code 	Short Name                	Long Name                                         	North Carolina Totals	  Alamance	 Alexander	 Alleghany	     Anson	      Ashe	Atlantic Ocean	     Avery	  Beaufort	    Bertie	    Bladen	 Brunswick	  Buncombe	     Burke	  Cabarrus	  Caldwell	    Camden	  Carteret	   Caswell	   Catawba	   Chatham	  Cherokee	    Chowan	      Clay	 Cleveland	  Columbus	    Craven	Cumberland	 Currituck	      Dare	  Davidson	     Davie	    Duplin	    Durham	 Edgecombe	   Forsyth	  Franklin	    Gaston	     Gates	    Graham	 Granville	    Greene	  Guilford	   Halifax	   Harnett	   Haywood	 Henderson	  Hertford	      Hoke	      Hyde	   Iredell	   Jackson	  Johnston	     Jones	       Lee	    Lenoir	   Lincoln	     Macon	   Madison	    Martin	  Mcdowell	Mecklenburg	  Mitchell	Montgomery	     Moore	      Nash	New Hanover	Northampton	    Onslow	    Orange	   Pamlico	Pasquotank	    Pender	Perquimans	    Person	      Pitt	      Polk	  Randolph	  Richmond	   Robeson	Rockingham	     Rowan	Rutherford	   Sampson	  Scotland	    Stanly	    Stokes	     Surry	     Swain	Transylvania	   Tyrrell	     Union	     Vance	      Wake	    Warren	Washington	   Watauga	     Wayne	    Wilkes	    Wilson	    Yadkin	    Yancey
00020	AIR      TEMP     CENT    	TEMPERATURE, AIR (DEGREES CENTIGRADE)             	                 2329	         0	         0	         0	         0	         0	             0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	      1053	         0	         0	         8	         0	         0	        18	         0	         0	         0	         0	         0	         0	       166	         0	         1	         0	        41	         0	         0	        83	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	        32	         0	         0	       303	        165	         0	         0	         0	         0	          0	          0	         0	        26	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	           0	         0	         0	         0	       423	         0	         0	         0	         0	         0	         0	         0	        10
00021	AIR      TEMP     FAHN    	TEMPERATURE, AIR (DEGREES FAHRENHEIT)             	                   30	         0	         0	         0	         0	         0	             0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         5	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	        19	         0	         0	         0	         0	         0	         0	         0	         0	         0	          6	         0	         0	         0	         0	          0	          0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	           0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0
00023	WEIGHT    POUNDS          	SAMPLE WEIGHT IN POUNDS                           	                   68	         0	         0	         0	         0	         0	             0	         0	         0	         0	        33	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	        35	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	          0	         0	         0	         0	         0	          0	          0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	           0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0
00024	LENGTH    INCHES          	SAMPLE LENGTH IN INCHES                           	                   68	         0	         0	         0	         0	         0	             0	         0	         0	         0	        33	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	        35	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	          0	         0	         0	         0	         0	          0	          0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	           0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0
00026	TOXICS   EPA IDEN FY      	TOXICS-IDENTIFY DATA COLLECTION BY EPA DIRECTIVE  	                  551	         7	         0	         0	         1	         0	             0	         0	         0	         0	         0	        12	        24	         2	         0	        34	         0	         8	         0	         0	         0	         0	         0	         0	         0	         0	        10	        15	         0	         0	         2	         0	         0	         6	         3	        22	         0	        15	         0	         0	         0	         0	        21	         0	         0	        23	         0	         0	         0	         0	        16	         0	         0	         0	         0	         0	         0	         0	         0	         0	         6	         90	        10	         0	         0	         0	        105	          0	         0	         1	         0	         0	         0	         0	         3	         2	         0	         1	         0	         0	        11	         1	         3	         0	         0	        14	         0	         0	         0	           0	         0	         8	         0	        32	         0	         0	         3	         0	        32	         2	         0	         6
00027	COLLECT  AGENCY   CODE    	CODE NO FOR AGENCY COLLECTING SAMPLE-SEE APPEND.  	                 1597	         0	         0	         0	         0	         0	             0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	          1	         0	         0	         0	         0	          0	          0	       801	         0	         0	         0	       795	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	           0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0
00028	ANALYZE  AGENCY   CODE    	CODE NO FOR AGENCY ANALYZING SAMPLE (SEE APPEND)  	                    4	         0	         0	         0	         0	         0	             0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         4	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	          0	         0	         0	         0	         0	          0	          0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	           0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0
00029	FIELD    IDENT    NUMBER  	NUMBER USED IN SAMPLE ACCOUNTING PROCEDURE        	                  127	         2	         0	         0	         0	         0	             0	         0	         0	         0	         0	         5	         0	         0	         0	         2	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         3	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         5	         0	         0	         0	         0	         0	         0	         0	         0	         0	         2	         0	         2	         0	         0	         0	          0	         0	         0	         0	         0	          0	          0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         2	         0	         0	         0	         0	         0	         0	         0	         0	        86	           3	         0	         0	         0	         5	         0	        10	         0	         0	         0	         0	         0	         0
00030	INCDT LT SURF     C/SQCM/D	LIGHT, INCIDENT, SUNLIGHT RADIATION INTENSITY     	                  942	         0	         0	         0	         0	         0	             0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	       384	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	          0	         0	         0	         0	         0	          0	          0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	           0	         0	         0	         0	       558	         0	         0	         0	         0	         0	         0	         0	         0
00032	CLOUD    COVER    PERCENT 	CLOUD COVER (PERCENT)                             	                  194	         0	         0	         0	         0	         0	             0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	        17	         0	         0	         0	       129	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         1	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	          0	         0	         0	         0	         0	          0	          0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	           0	         1	         0	         0	         0	         0	         0	         0	         0	         0	         0	        46	         0
00034	DEPTH-FT 1% LIGHT REMAINS 	DEPTH IN FEET AT WHICH 1% SURFACE LIGHT REMAINS   	                  239	         0	         0	         0	         0	         0	             0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	       222	        17	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	          0	         0	         0	         0	         0	          0	          0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	           0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0
00036	WIND     DIR.FROM NORTH-0 	WIND DIRECTION IN DEGREES FROM TRUE N (CLOCKWISE) 	                   72	         0	         0	         0	         0	         0	             0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         4	         0	         0	         0	        46	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         1	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	          0	         0	         0	         0	         0	          0	          0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	           0	         1	         0	         0	         0	         0	         0	         0	         0	         0	         0	        20	         0
00037	WIND     FORCE    BEAUFORT	WIND FORCE (BEAUFORT UNITS)                       	                  166	         0	         0	         0	         0	         0	             0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	        15	         0	         0	         0	       110	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         1	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	          0	         0	         0	         0	         0	          0	          0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	           0	         1	         0	         0	         0	         0	         0	         0	         0	         0	         0	        39	         0
00039	SAMPLE   LENGTH   MM      	SAMPLE LENGTH IN MILLIMETERS                      	                  195	         0	         0	         0	         0	         0	             7	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	        29	         0	        20	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	        24	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	          0	         0	         0	         0	         0	          0	          0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	        19	         0	        96	           0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0
00040	WIND     DIRECT   AZIMUTH 	WIND DIRECTION, AZIMUTH                           	                    8	         0	         0	         0	         0	         0	             0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	          0	         0	         0	         0	         0	          0	          0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	           8	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0
00041	WEATHER  WMO CODE 4501    	WEATHER (WMO CODE 4501)                           	                  801	         0	         0	         0	         0	         0	             0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	        41	         0	         0	         0	         0	         0	         0	         0	         0	         0	       113	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	        172	         0	         0	         0	         0	          0	        457	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	           0	         0	         0	         0	         0	        18	         0	         0	         0	         0	         0	         0	         0
00045	PRECIP   TOT DAY  IN      	PRECIPITATION, TOTAL (INCHES PER DAY)             	                 3556	         0	         0	         0	         0	         0	             0	         0	         0	         0	        24	        60	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	        12	         0	         0	         0	         0	         0	        17	        36	         0	         0	       129	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         1	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	          0	         0	         0	         0	         0	         24	          0	         0	         0	         0	         0	        24	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	        24	         0	         0	         0	         0	         0	        3158	         1	         0	         0	         0	         0	         0	         0	         0	         0	         0	        46	         0
00053	SURFACE  AREA     ACRES   	SURFACE AREA, ACRES                               	                    1	         0	         0	         0	         0	         0	             0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         1	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	          0	         0	         0	         0	         0	          0	          0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	           0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0
00054	RESVOIR  STORAGE  AC-FT   	RESERVOIR STORAGE - ACRE FEET                     	                    2	         0	         0	         0	         0	         0	             0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	          0	         0	         0	         0	         0	          0	          1	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	           1	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0
00057	IND OF   FLOW     CHECKED 	FLOW, INDICATES IT HAS BEEN CHECKED               	                  101	         0	         0	         0	         0	         0	             0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	          0	         0	         0	         0	         0	          0	        101	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	           0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0
00060	STREAM   FLOW     CFS     	FLOW, STREAM, MEAN DAILY                       CFS	                  462	         0	         0	         0	         0	         0	             0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	        80	        20	         0	        21	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         7	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	          0	         0	         0	         0	         0	          0	         93	         0	        26	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         202	         0	         0	         0	        13	         0	         0	         0	         0	         0	         0	         0	         0
00061	STREAM   FLOW,    INST-CFS	FLOW, STREAM, INSTANTANEOUS                    CFS	                16018	         0	         0	         0	         0	         0	             0	        28	         0	         0	         0	         0	       289	         0	         0	         0	         0	         0	         0	         0	         0	      9200	         0	       881	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	        18	         0	      1872	         0	         0	         0	         0	         0	       212	       142	        27	         0	         0	         0	       231	         4	         0	         0	         0	         0	        35	        50	         0	         0	          0	        56	         0	         0	         0	          0	         27	         0	         0	         0	         0	         6	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	      2642	          72	         0	         0	         0	         3	         0	         0	        33	         2	         0	       118	         0	        70
00062	WATER    SURF ELE IN FEET 	ELEVATION, RESERVOIR SURFACE WATER IN FEET        	                   76	         0	         0	         0	         0	         0	             0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	        20	         0	        42	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	        14	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	          0	         0	         0	         0	         0	          0	          0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	           0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0
00063	NO. OF   SAMPLING POINTS  	SAMPLING POINTS, NUMBER OF IN A CROSS SECTION     	                   13	         0	         0	         0	         0	         0	             0	         0	         0	         0	        10	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         3	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	          0	         0	         0	         0	         0	          0	          0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	           0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0
00064	DEPTH OF STREAM   MEAN(FT)	DEPTH OF STREAM, MEAN (FT)                        	                  248	         0	         0	         0	         0	         0	             0	         4	         0	         0	         0	         0	        13	         2	         0	         0	         0	         0	         0	         0	         0	         5	         0	         6	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         4	         5	         0	         0	         0	         0	         0	        22	        17	         4	         0	         0	         0	         5	         0	         0	         0	         0	         0	        32	        24	         0	        15	         30	         0	         0	         0	         0	          0	          8	         0	         0	         0	         0	         0	         0	         0	         0	         7	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         2	        26	          13	         0	         0	         0	         0	         0	         0	         2	         0	         2	         0	         0	         0
