ID       Station                              State   Lat       Long       Elev
28184    STANTON                              AZ      34.1      -112.44    1067.07
28499    TEMPE ASU                            AZ      33.23     -111.58    359.76
28778    TRUXTON CANYON                       AZ      35.23     -113.4     1164.63
28792    TUBA CITY                            AZ      36.08     -111.15    1513.72
28810    TUCSON NURSERY                       AZ      32.17     -111.02    751.52
29271    WHITERIVER                           AZ      33.5      -109.58    1597.87
29334    WILLCOX                              AZ      32.18     -109.51    1277.44
29439    WINSLOW AP                           AZ      35.01     -110.44    1487.8
40014    ACTON FC261                          CA      34.3      -118.17    890.24
40029    ADIN RS                              CA      41.12     -120.57    1278.35
40088    ALDERPOINT                           CA      40.11     -123.36    132.62
40161    ALTURAS RANGER STATION               CA      41.29     -120.32    1330.79
40212    ANGWIN                               CA      38.35     -122.26    553.35
40383    AUBURN                               CA      38.54     -121.04    395.43
40514    BARRETT DAM                          CA      32.41     -116.4     494.82
40738    BIG BAR RANGER STATION               CA      40.45     -123.15    388.11
40779    BIG PINES PARK FC83B                 CA      34.23     -117.41    2092.07
40931    BOCA                                 CA      39.23     -120.06    1686.59
41010    BOULEVARD 2                          CA      32.4      -116.18    1097.56
41018    BOWMAN DAM                           CA      39.27     -120.4     1630.18
41080    BRIDGEVILLE 4 NNW                    CA      40.32     -123.49    625
41112    BROOKS FARNHAM RANCH                 CA      38.46     -122.09    106.71
41130    BRUSH CREEK RANGER STN               CA      39.41     -121.2     1067.07
41170    BUENA VISTA                          CA      36.46     -121.11    500
41214    BURNEY                               CA      40.53     -121.4     957.32
41215    BURNT RANCH 1 S                      CA      40.48     -123.28    640.24
41300    CALIF HOT SPRINGS RANGER STN         CA      35.52     -118.41    945.12
41428    CAMP PARDEE                          CA      38.15     -120.51    200.61
41476    CANBY RANGER STN                     CA      41.27     -120.52    1314.63
41614    CEDARVILLE                           CA      41.32     -120.1     1423.78
41624    CENTERVILLE PH                       CA      39.47     -121.4     159.15
41653    CHALLENGE RANGER STN                 CA      39.29     -121.13    780.49
41700    CHESTER                              CA      40.18     -121.14    1381.1
41739    CHITTENDEN PASS                      CA      36.54     -121.36    38.11
41743    CHOLAME ALLEY RANCH                  CA      35.41     -120.12    602.13
41754    CHUCHUPATE RANGER STN                CA      34.48     -119.01    1603.66
41784    CLARKSBURG                           CA      38.25     -121.32    4.27
41838    CLOVERDALE                           CA      38.46     -122.59    97.56
41896    COLBYS FC 53D                        CA      34.18     -118.07    1120.43
41907    COLEMAN FISH HATCHERY                CA      40.24     -122.08    132.62
41948    COLUSA 1 SSW                         CA      39.12     -122.01    18.29
41962    CONCORD 3 ESE                        CA      37.58     -121.59    59.45
42218    CUMMINGS                             CA      39.5      -123.28    403.66
42294    DAVIS                                CA      38.32     -121.46    15.55
42306    DAY                                  CA      41.13     -121.23    1112.8
42406    DESCANSO RANGER STN                  CA      32.51     -116.37    1082.32
42500    DOWNIEVILLE RANGER STATION           CA      39.34     -120.5     882.62
42506    DOYLE 4 SSE                          CA      39.57     -120.05    1336.89
42539    DUDLEYS                              CA      37.45     -120.06    914.63
42568    DUNNIGAN                             CA      38.53     -121.58    20.73
42572    DUNSMUIR                             CA      41.13     -122.16    737.8
42580    DUTTONS LANDING                      CA      38.12     -122.18    9.15
42728    ELECTRA POWER HOUSE                  CA      38.2      -120.4     217.99
42735    ELIZABETH LAKE CN FC12               CA      34.36     -118.34    632.62
42749    ELK VALLEY                           CA      42        -123.43    521.65
42899    ETNA                                 CA      41.28     -122.54    899.09
42934    FAIRFIELD                            CA      38.15     -122.03    5.79
42941    FAIRMONT                             CA      34.42     -118.26    932.93
42958    FALLBROOK                            CA      33.21     -117.15    165.24
43038    FIDDLETOWN DEXTER RANCH              CA      38.31     -120.42    640.24
43118    FONTANA 5 N                          CA      34.11     -117.27    601.22
43130    FOREST GLEN                          CA      40.23     -123.2     713.41
43134    FORESTHILL RANGER STN                CA      39.01     -120.5     1025.91
43173    FORT DICK                            CA      41.52     -124.09    14.02
43176    FORT JONES 6 ESE                     CA      41.35     -122.43    1013.41
43182    FORT JONES RANGER STN                CA      41.36     -122.51    837.5
43242    FRENCH GULCH                         CA      40.42     -122.38    335.37
43338    GARDEN VALLEY 2 S                    CA      38.5      -120.51    591.46
43384    GEORGETOWN RANGER STN                CA      38.55     -120.47    914.94
43402    GIBRALTAR DAM 2                      CA      34.31     -119.41    472.56
43463    GLENNVILLE                           CA      35.43     -118.42    957.32
43491    GOLD RUN                             CA      39.1      -120.52    987.8
43669    GROVELAND 2                          CA      37.5      -120.14    880.18
43672    GROVELAND RANGER STN                 CA      37.49     -120.06    955.79
43710    HAIWEE                               CA      36.08     -117.57    1166.16
43761    HAPPY CAMP RANGER STN                CA      41.48     -123.23    338.41
43791    HARRISON GULCH R S                   CA      40.22     -122.58    826.22
43800    HARRY ENGLEBRIGHT DAM                CA      39.14     -121.16    176.83
43821    HAT CREEK RANGER STN                 CA      40.48     -121.3     1020.73
43824    HAT CREEK                            CA      40.56     -121.33    919.21
43859    HAYFORK RANGER STN                   CA      40.33     -123.1     715.24
43875    HEALDSBURG                           CA      38.37     -122.52    30.79
43925    HERNANDEZ 2 NW                       CA      36.24     -120.5     658.54
43928    HERNANDEZ 7 SE                       CA      36.18     -120.42    842.99
44082    HOOPA                                CA      41.03     -123.4     106.71
44097    HOPLAND 8 NE                         CA      39.01     -123       765.24
44144    HUASNA                               CA      35.06     -120.23    217.99
44191    HYAMPOM                              CA      40.37     -123.27    384.15
44208    IDYLLWILD                            CA      38.42     -121.08    42.07
44232    INDEPENDENCE                         CA      36.48     -118.12    1204.27
44405    JOSHUA TREE                          CA      34.09     -116.19    847.56
44418    JULIAN WYNOLA                        CA      33.06     -116.39    1114.33
44518    KERN RIVER INTAKE 3                  CA      35.57     -118.29    1112.8
44536    KETTLEMAN STATION                    CA      36.04     -120.05    154.88
44587    KNEELAND 10 SSE                      CA      40.38     -123.54    718.29
44660    LA HONDA                             CA      37.19     -122.16    204.27
44690    LAKE MOUNTAIN                        CA      40.01     -123.24    966.46
44703    LAKEPORT SCS                         CA      39.02     -122.55    413.41
44812    LAS PLUMAS                           CA      39.41     -121.29    154.27
44851    LAYTONVILLE                          CA      39.42     -123.29    500
44886    LEHMAN RANCH                         CA      38.36     -121.01    182.93
44890    LEMON COVE                           CA      36.23     -119.02    156.4
45002    LLANO SHAWNEE HILLS RC               CA      34.28     -117.45    868.9
45017    LOCKWOOD                             CA      35.58     -121.05    336.59
45032    LODI                                 CA      38.07     -121.17    15.24
45067    LONE PINE COTTONWOOD PH              CA      36.26     -118.03    1204.27
45107    LOS ALAMOS                           CA      34.45     -120.17    172.26
45118    LOS BANOS                            CA      37.03     -120.51    38.11
45147    LOS PRIETOS RANGER STN               CA      34.33     -119.47    304.88
45258    MAHNKE                               CA      38.51     -122.47    730.18
45284    MAMMOTH PASS                         CA      37.37     -119.02    2097.56
45346    MARIPOSA                             CA      37.29     -119.58    613.11
45371    MARTINEZ 2 S                         CA      37.58     -122.08    68.6
45535    MERCED 2                             CA      37.19     -120.29    51.83
45598    MIDDLETOWN                           CA      38.45     -122.37    342.07
45623    MILFORD LAUFMAN RS                   CA      40.08     -120.21    1481.71
45629    MILL CREEK 2                         CA      34.05     -117.02    903.96
45823    MOORPARK                             CA      34.17     -118.53    158.54
45909    MOUNT DANAHER                        CA      38.45     -120.4     1039.02
45941    MOUNT HEBRON RNG STN                 CA      41.47     -122       1295.73
46122    NEENACH                              CA      34.48     -118.35    879.57
46252    NORTH FORK RANGER STN                CA      37.14     -119.3     801.83
46328    OAK KNOLL RANGER STN                 CA      41.5      -122.51    598.48
46525    OROVILLE BRIDGE                      CA      39.31     -121.34    50.3
46597    PACIFIC HOUSE                        CA      38.45     -120.3     1048.78
46610    PAICINES OHRWALL RANCH               CA      36.44     -121.22    289.63
46657    PALOMAR MOUNTAIN OBSERVATORY         CA      33.21     -116.51    1695.12
46675    PANOCHE                              CA      36.36     -120.52    402.44
46703    PARKFIELD                            CA      35.53     -120.26    451.83
46726    PASKENTA RANGER STN                  CA      39.53     -122.33    230.18
46829    PETALUMA 1 N                         CA      38.15     -122.38    9.15
46891    PINE CANYON PS FC321E                CA      34.4      -118.26    1001.83
46962    PLACERVILLE IFG                      CA      38.44     -120.44    842.99
46998    PLUMAS EUREKA STATE PARK             CA      39.45     -120.42    1574.7
47050    POMONA                               CA      34.04     -117.46    260.67
47077    PORTERVILLE                          CA      36.04     -119.01    119.82
47096    POSEY 3 E                            CA      35.48     -118.38    1512.2
47195    QUINCY                               CA      39.56     -120.57    1039.33
47292    RED BLUFF                            CA      40.09     -122.15    104.27
47473    RIVERSIDE CITRUS EXP STN             CA      33.58     -117.2     318.6
47516    ROCKLIN                              CA      38.48     -121.14    72.87
47643    SAINT HELENA                         CA      38.3      -122.28    77.74
47646    SAINT HELENA 4 WSW                   CA      38.3      -122.32    546.34
47681    SALSIPUEDES GAUGING STN              CA      34.35     -120.24    76.22
47689    SALT SPRINGS PWR HOUSE               CA      38.3      -120.13    1128.05
47719    SAN BENITO                           CA      36.31     -121.05    414.63
47723    SAN BERNARDINO                       CA      34.08     -117.06    342.99
47779    SAN GABRIEL DAM FC425B               CA      34.12     -117.52    451.52
47807    SAN GREGORIO 2 SE                    CA      37.18     -122.22    114.33
47810    SAN JACINTO                          CA      33.47     -116.58    472.56
47916    SANTA CRUZ                           CA      36.59     -122.01    38.11
47965    SANTA ROSA                           CA      38.27     -122.43    50.91
48014    SAUGUS POWER PLANT 1                 CA      34.35     -118.27    641.77
48025    SAWYERS BAR RANGER STN               CA      41.18     -122.55    661.28
48068    SEARSVILLE LAKE                      CA      37.24     -122.14    106.71
48135    SHASTA DAM                           CA      40.43     -122.25    216.46
48218    SIERRAVILLE RANGER STN               CA      39.35     -120.22    1516.77
48346    SOMESBAR 1 W                         CA      41.23     -123.29    167.68
48353    SONORA                               CA      37.59     -120.23    557.93
48446    SPRECKELS                            CA      36.36     -121.41    18.29
48460    SPRINGVILLE RANGER STN               CA      36.08     -118.48    320.12
48580    STONYFORD                            CA      39.23     -122.33    356.1
48606    STRAWBERRY VALLEY                    CA      39.34     -121.06    1160.98
48627    SUEY RANCH                           CA      35        -120.23    118.9
48702    SUSANVILLE                           CA      40.23     -120.33    1264.63
48703    SUSANVILLE 1 WNW                     CA      40.26     -120.4     1388.72
48826    TEHACHAPI                            CA      35.08     -118.27    1211.89
48997    TRACY 2 SSE                          CA      37.43     -121.25    32.01
49043    TRUCKEE RANGER STN                   CA      39.2      -120.11    1817.07
49053    TULELAKE                             CA      41.58     -121.28    1233.23
49122    UKIAH                                CA      39.09     -123.12    189.94
49124    UKIAH 4 WSW                          CA      39.08     -123.16    579.27
49126    UKIAH 4 W                            CA      39.09     -123.16    472.56
49167    UPPER LAKE 7 W                       CA      39.11     -123.02    464.63
49325    VICTORVILLE                          CA      34.33     -117.18    884.15
49351    VINTON                               CA      39.49     -120.11    1507.62
49382    VOLCANOVILLE                         CA      38.59     -120.47    925.61
49386    VOLLMERS                             CA      40.57     -122.26    405.49
49418    WALLACE                              CA      38.11     -120.58    65.24
49512    WELDON                               CA      35.4      -118.18    817.07
49583    WEST POINT 3 SW                      CA      38.22     -120.33    731.71
49615    WHEELER SPRINGS 2 SW                 CA      34.29     -119.18    268.29
49699    WILLOWS                              CA      39.32     -122.12    42.68
49754    WOFFORD HEIGHTS KERNVILLE            CA      35.43     -118.27    823.17
49851    YORKVILLE                            CA      38.55     -123.16    365.85
49866    YREKA                                CA      41.43     -122.38    802.13
50109    AKRON 4 E                            CO      40.1      -103.09    1390.24
50214    ALTENBERN                            CO      39.3      -108.23    1734.76
50304    ARAPAHOE                             CO      38.51     -102.11    1223.48
50348    ARRIBA                               CO      38.55     -103.05    1459.45
50370    ASPEN                                CO      39.11     -106.5     2417.07
50454    BAILEY                               CO      39.24     -105.29    2357.62
50514    BASALT                               CO      39.22     -107.02    2019.51
50776    BLANCA                               CO      37.26     -105.31    2287.5
50810    BOND                                 CO      39.53     -106.42    2042.68
50834    BONNY LAKE                           CO      39.38     -102.11    1142.68
50945    BRIGGSDALE                           CO      40.39     -104.2     1486.28
51071    BUENA VISTA                          CO      38.51     -106.08    2445.12
51179    BYERS                                CO      39.43     -104.13    1595.43
51308    GRENORA                              ND      37.43     -109.05    2067.07
51440    CEDAREDGE                            CO      38.54     -107.56    1882.62
51458    CENTER                               CO      37.45     -106.07    2337.8
51528    CHEESMAN                             CO      39.13     -105.17    2096.04
51564    CHEYENNE WELLS                       CO      38.49     -102.21    1309.45
51693    COALDALE                             CO      38.23     -105.47    1989.33
51741    COLLBRAN                             CO      39.15     -107.58    1823.17
51928    CRAIG                                CO      40.31     -107.33    1916.16
52184    DEL NORTE                            CO      37.4      -106.21    2403.66
52192    DELTA                                CO      38.45     -108.03    1562.5
52220    DENVER WSFO AIRPORT                  CO      39.46     -104.53    1613.41
52225    DENVER WSO CITY                      CO      39.45     -105       1591.77
52312    DOHERTY RANCH                        CO      37.23     -103.53    1564.02
52326    DOLORES                              CO      37.28     -108.3     2118.9
52446    EADS                                 CO      38.29     -102.47    1298.17
52494    EASTONVILLE 1 NNW                    CO      39.05     -104.34    2210.37
52535    ECKLEY                               CO      40.07     -102.29    1189.02
52600    ELBERT 6 SSE                         CO      39.08     -104.32    2198.17
52759    ESTES PARK                           CO      40.23     -105.31    2294.21
52932    FLAGLER                              CO      39.19     -103.05    1516.77
52997    FORDER 8 S                           CO      38.33     -103.41    1444.82
53005    FORT COLLINS                         CO      40.35     -105.05    1525.61
53027    FORT LUPTON                          CO      40.06     -104.49    1490.24
53038    FORT MORGAN                          CO      40.15     -103.48    1317.38
53146    FRUITA                               CO      39.1      -108.44    1374.09
53246    GATEWAY                              CO      38.4      -108.59    1390.85
53258    GENOA                                CO      39.17     -103.32    1708.23
53489    GRAND JUNCTION 2 WSW                 CO      39.03     -108.27    1451.22
53579    GREENLAND 9 SE                       CO      39.06     -104.44    2280.49
53584    GREENLAND 9 NE                       CO      39.14     -104.45    2079.27
53592    GREEN MOUNTAIN DAM                   CO      39.53     -106.2     2359.76
53867    HAYDEN                               CO      40.29     -107.15    1943.6
54076    HOLLY                                CO      38.03     -102.07    1034.45
54155    HOYT                                 CO      40        -104.05    1522.87
54172    HUGO                                 CO      39.08     -103.28    1534.76
54388    JOHN MARTIN DAM                      CO      38.04     -102.56    1162.8
54444    KARVAL                               CO      38.44     -103.32    1564.02
54581    KIOWA                                CO      39.21     -104.29    1935.98
54603    KIT CARSON                           CO      38.46     -102.47    1306.1
54945    LEROY                                CO      40.29     -103.01    1338.41
55017    LIMON                                CO      39.16     -103.42    1634.15
55020    LIMON HASS RANCH                     CO      39        -103.44    1661.59
55048    LITTLE HILLS                         CO      40        -108.12    1890.24
55116    LONGMONT 2 ESE                       CO      40.1      -105.04    1509.15
55531    MESA VERDE NATL PARK                 CO      37.12     -108.3     2123.48
55695    MONARCH PASS                         CO      38.3      -106.2     2926.83
55706    MONTE VISTA                          CO      37.35     -106.09    2337.5
55717    MONTROSE 1                           CO      38.29     -107.53    1762.2
55765    MORRISON 1 SW                        CO      39.39     -105.14    1829.27
55805    MOUNT MORRISON 1 SW                  CO      39.39     -105.14    1829.27
55922    NEW RAYMER                           CO      40.36     -103.51    1458.23
56192    OTIS 11 NE                           CO      40.16     -102.51    1299.7
56280    PALMER LAKE                          CO      39.07     -104.55    2219.51
56315    PARADOX                              CO      38.22     -108.58    1618.6
56326    PARKER 6 E                           CO      39.32     -104.39    1923.78
56559    PLATORO                              CO      37.21     -106.3     2671.64
56763    PUEBLO ARMY DEPOT                    CO      38.18     -104.21    1426.83
57031    RIFLE                                CO      39.32     -107.48    1646.34
57167    ROCKY FORD 2 SE                      CO      38.02     -103.42    1273.78
57287    RUSH                                 CO      38.53     -104.06    1768.29
57337    SAGUACHE                             CO      38.05     -106.08    2346.65
57618    SHOSHONE                             CO      39.34     -107.14    1966.46
57664    SIMLA                                CO      39.09     -104.05    1844.51
57866    SPRINGFIELD 7 WSW                    CO      37.24     -102.37    1394.82
57992    STONINGTON                           CO      37.17     -102.11    1158.84
58434    TRINIDAD CAA AIRPORT                 CO      37.15     -104.2     1751.83
58468    TROY 1 SE                            CO      37.08     -103.19    1748.48
58722    VONA                                 CO      39.18     -102.44    1371.95
58839    WATERDALE                            CO      40.25     -105.12    1560.98
58986    WETMORE 1 SE                         CO      38.13     -105.05    2004.57
59045    WILCOX RANCH                         CO      38.55     -107.31    1817.07
59265    YAMPA                                CO      40.09     -106.54    2406.1
59295    YUMA                                 CO      40.08     -102.44    1258.54
61689    COVENTRY                             CT      41.8      -72.35     146
64488    MANSFIELD HOLLOW LAKE                CT      41.75     -72.18     76
65077    MOUNT CARMEL                         CT      41.4      -72.9      55
65445    NORFOLK 2 SW                         CT      41.97     -73.22     408
68138    STORRS                               CT      41.8      -72.25     183
73570    GEORGETOWN 5 SW                      DE      38.63     -75.47     14
76410    NEWARK UNIVERSITY FARM               DE      39.65     -75.77     34
100010   ABERDEEN EXPERIMNT STN               ID      42.57     -112.5     1341.46
100227   AMERICAN FALLS 1 SW                  ID      42.47     -112.52    1315.85
100347   ARBON 2 NW                           ID      42.3      -112.34    1576.22
100448   ARROWROCK DAM                        ID      43.36     -115.55    987.5
100525   AVERY RANGER STN                     ID      47.15     -115.48    759.76
100540   BALD MOUNTAIN                        ID      43.39     -114.24    1829.27
101022   BOISE WSFO AIRPORT                   ID      43.34     -116.13    866.46
101288   BURLEY                               ID      42.32     -113.47    1282.93
101298   BURLEY FACTORY                       ID      42.33     -113.48    1262.2
101422   CAMPBELLS FERRY                      ID      45.29     -115.19    713.41
101551   CASTLEFORD 2 N                       ID      42.33     -114.52    1166.16
101636   CENTERVILLE ARBAUGH RANCH            ID      43.58     -115.51    1310.98
101663   CHALLIS                              ID      44.3      -114.14    1576.52
101831   CLARKIA                              ID      47        -116.15    867.07
102071   CONDA                                ID      42.43     -111.33    1890.24
102154   COTTONWOOD                           ID      46.03     -116.21    1067.38
102444   DEER FLAT DAM                        ID      43.35     -116.45    765.24
102904   ELMIRA                               ID      48.29     -116.27    737.5
103143   FENN RANGER STATION                  ID      46.06     -115.33    548.78
103448   GARDEN VALLEY                        ID      44.04     -115.55    979.27
103677   GOODING                              ID      42.55     -114.42    1096.95
103771   GRANGEVILLE                          ID      45.55     -116.08    1022.87
103811   GRASMERE 3 S                         ID      42.16     -115.53    1585.37
103835   GREENCREEK 3 N                       ID      46.09     -116.16    1021.34
104140   HAZELTON                             ID      42.36     -114.08    1237.8
104150   HEADQUARTERS                         ID      46.38     -115.48    956.71
104230   HENRY                                ID      42.54     -111.3     1871.95
104268   HILL CITY                            ID      43.18     -115.03    1532.93
104384   HOWE                                 ID      43.47     -113       1469.51
104442   IDAHO CITY                           ID      43.5      -115.5     1208.84
104450   IDAHO CITY 11 SW                     ID      43.43     -116       1524.39
104475   IDA VADA                             ID      42.01     -115.19    1829.27
104588   IRWIN 2 SE                           ID      43.24     -111.18    1615.85
104670   JEROME                               ID      42.44     -114.31    1143.29
104831   KELLOGG                              ID      47.32     -116.08    702.74
104908   KILGORE                              ID      44.24     -111.53    1875
105011   KOOSKIA                              ID      46.09     -115.59    384.45
105043   KUNA 3 E                             ID      43.29     -116.2     844.51
105241   LEWISTON AP                          ID      46.23     -117.01    430.79
105462   MACKAY RANGER STN                    ID      43.55     -113.37    1797.87
105544   MALAD                                ID      42.11     -112.16    1347.56
105567   MALTA RANGER STN                     ID      42.19     -113.21    1385.06
105685   MAY                                  ID      44.36     -113.55    1557.93
106053   MONTPELIER RANGER STN                ID      42.19     -111.18    1811.89
106174   MOUNTAIN HOME                        ID      43.08     -115.42    969.51
106300   NAMPA 2 NW                           ID      43.37     -116.35    753.05
106424   NEZPERCE                             ID      46.15     -116.12    960.37
106681   OROFINO                              ID      46.29     -116.15    313.11
106764   PALISADES                            ID      43.21     -111.13    1641.77
106844   PARMA                                ID      43.47     -116.57    678.05
106891   PAYETTE                              ID      44.05     -116.56    655.49
107040   PICABO                               ID      43.18     -114.04    1486.28
107327   PRAIRIE                              ID      43.3      -115.35    1463.41
107353   PRESTON SUGAR FACTORY                ID      42.04     -111.51    1438.41
107673   RICHFIELD                            ID      43.04     -114.09    1312.8
107706   RIGGINS                              ID      45.25     -116.19    549.09
108022   ST ANTHONY                           ID      43.58     -111.4     1514.63
108062   SAINT MARIES                         ID      47.19     -116.34    661.59
108137   SANDPOINT EXP STATION                ID      48.17     -116.34    640.24
108548   SOLDIER CREEK RANGER STN             ID      43.3      -114.5     1754.57
108604   SPENCER RANGER STN                   ID      44.21     -112.11    1793.6
108818   SUGAR                                ID      43.53     -111.45    1490.85
108928   SWAN FALLS POWER HOUSE               ID      43.15     -116.23    708.23
109119   THREE CREEK                          ID      42.05     -115.09    1652.44
109294   TWIN FALLS 2 NNE                     ID      42.35     -114.28    1149.39
109299   TWIN FALLS 3 SE                      ID      42.32     -114.25    1147.87
110072   ALEDO                                IL      41.22     -90.75     219
118740   URBANA                               IL      40.1      -88.23     226
120550   BEDFORD 4 SW                         IN      38.83     -86.53     155
121739   COLUMBIA CITY                        IN      41.13     -85.48     260
122309   DUBOIS S IN FORAGE FARM              IN      38.45     -86.7      210
122825   FARMLAND                             IN      40.25     -85.15     294
124407   JOHNSON EXPERIMENT FARM              IN      38.27     -87.75     134
124715   LAFAYETTE 5 S                        IN      40.35     -86.87     183
124730   LAGRANGE SEWAGE PLANT                IN      41.65     -85.42     273
129222   WANATAH 2 WNW                        IN      41.43     -86.93     224
130112   ALBIA                                IA      41.03     -92.8      288
130200   AMES 8 WSW                           IA      42.03     -93.8      335
137613   SHENANDOAH                           IA      40.74     -95.38     309
141699   COLBY 1 SW                           KS      39.38     -101.1     966
142980   GARDEN CITY EXP STN                  KS      37.98     -100.82    866
144972   MANHATTAN                            KS      39.2      -96.58     325
174183   JONESBORO                            ME      44.65     -67.65     43
176430   ORONO                                ME      44.93     -68.7      43
181862   CLARKSVILLE 3 NNE                    MD      39.25     -76.92     111
189070   UPPER MARLBORO 3 NNW                 MD      38.87     -76.78     30
190408   BARRE FALLS DAM                      MA      42.43     -72.03     277
190666   BIRCH HILL DAM                       MA      42.63     -72.12     256
190998   BUFFUMVILLE LAKE                     MA      42.12     -71.9      152
192451   EAST WAREHAM                         MA      41.77     -70.67     5
194246   LITTLEVILLE LAKE                     MA      42.27     -72.88     183
196783   READING                              MA      42.52     -71.13     27
200032   ADRIAN                               MI      41.92     -84.02     230
202395   EAST LANSING 3 SE                    MI      42.7      -84.47     271
203201   GAGETOWN HURON LINE                  MI      43.67     -83.32     196
203203   BAD AXE MCMILLAN                     MI      43.72     -83.07     233
203303   DEWITT                               MI      42.8      -84.5      256
207690   SOUTH HAVEN                          MI      42.4      -86.28     191
207901   GAGETOWN                             MI      43.66     -83.25     229
211891   CROOKSTON NW EXP STN                 MN      47.8      -96.6      269
213303   GRAND RAPIDS FORESTRY LAB            MN      47.23     -93.5      399
215638   MORRIS WC EXP STN                    MN      45.58     -95.92     344
217377   ST PAUL                              MN      44.98     -93.08     280
218692   WASECA EXPERIMENT FARM               MN      44.07     -93.52     351
231791   COLUMBIA AIRPORT                     MO      38.82     -92.22     270
235834   MOUNTAIN GROVE 2 N                   MO      37.15     -92.27     446
236804   PORTAGEVILLE                         MO      36.42     -89.6      87
237455   ST LOUIS WSCMO AIPRORT               MO      38.82     -90.82     168
240075   ALBERTON                             MT      47        -114.29    935.98
240330   ASHLAND RANGER STN                   MT      45.36     -106.16    914.63
240364   AUGUSTA                              MT      47.29     -112.23    1240.85
240554   BAYLOR                               MT      48.4      -106.29    891.77
240636   BELLTOWER                            MT      45.39     -104.23    1006.1
240739   BIDDLE                               MT      45.06     -105.2     1017.99
240743   BIDDLE 8 SW                          MT      45.03     -105.28    1096.04
240807   BILLINGS INTL AP                     MT      45.48     -108.32    975.61
240877   BLACKLEAF                            MT      48.01     -112.29    1317.99
241044   BOZEMAN MONTANA ST UNIV              MT      45.4      -111.03    1480.49
241047   BOZEMAN 6 W EXP FARM                 MT      45.41     -111.09    1454.27
241080   BRADY AZNOE                          MT      47.57     -111.2     1014.94
241084   BRANDENBERG                          MT      45.49     -106.13    844.51
241088   BREDETTE                             MT      48.33     -105.16    807.93
241102   BRIDGER                              MT      45.18     -108.55    1134.15
241149   BROADVIEW                            MT      46.06     -108.52    1184.45
241231   BRUSETT 3 W                          MT      47.27     -107.18    952.74
241297   BUSBY                                MT      45.32     -106.57    1067.07
241408   CAMERON                              MT      45.12     -111.41    1676.83
241722   CHINOOK                              MT      48.36     -109.14    737.8
241737   CHOTEAU                              MT      47.49     -112.1     1161.59
241758   CIRCLE                               MT      47.26     -105.35    742.99
241765   CIRCLE 7 N                           MT      47.31     -105.34    740.24
241938   COLUMBUS                             MT      45.38     -109.15    1094.51
241968   CONNER                               MT      45.56     -114.08    1228.66
241984   CONTENT                              MT      47.59     -107.34    689.02
242104   CRESTON                              MT      48.11     -114.08    911.89
242112   CROW AGENCY                          MT      45.36     -107.27    923.78
242221   DARBY                                MT      46.01     -114.1     1182.93
242317   DELPHIA                              MT      46.29     -108.24    932.62
242347   DENTON                               MT      47.19     -109.57    1099.09
242404   DILLON AIRPORT                       MT      45.15     -112.33    1590.85
242409   DILLON NORMAL SCHOOL                 MT      45.12     -112.38    1593.9
242421   DIVIDE                               MT      45.46     -112.47    1648.17
242438   DODSON                               MT      48.25     -108.19    700.61
242550   DUNKIRK 14 NNE                       MT      48.4      -111.34    1020.73
