SOURCE,STATION,DATE,SURFCHLA
DWQ,0,4/17/1985,2
DWQ,0,5/8/1985,13
DWQ,0,6/24/1985,12
DWQ,0,7/9/1985,13
DWQ,0,8/29/1985,3
DWQ,0,9/12/1985,13
DWQ,0,10/8/1985,4
DWQ,0,11/6/1985,1
DWQ,0,12/11/1985,1
DWQ,0,1/14/1986,3
DWQ,0,2/17/1986,6
DWQ,0,3/17/1986,3
DWQ,0,4/3/1986,45
DWQ,0,5/5/1986,13
DWQ,0,6/19/1986,4
DWQ,0,7/9/1986,14
DWQ,0,8/25/1986,1
DWQ,0,9/23/1986,8
DWQ,0,10/28/1986,5
DWQ,0,11/18/1986,1
DWQ,0,12/4/1986,2
DWQ,0,1/15/1987,5
DWQ,0,2/18/1987,12
DWQ,0,3/18/1987,10
DWQ,0,4/6/1987,3
DWQ,0,5/12/1987,4
DWQ,0,5/27/1987,
DWQ,0,6/9/1987,140
DWQ,0,7/16/1987,10
DWQ,0,8/18/1987,3
DWQ,0,9/8/1987,4
DWQ,0,9/9/1987,
DWQ,0,10/21/1987,2
DWQ,0,11/9/1987,5
DWQ,0,12/30/1987,1
DWQ,0,1/19/1988,1
DWQ,0,2/15/1988,11
DWQ,0,3/9/1988,8
DWQ,0,4/7/1988,1
DWQ,0,4/27/1988,
DWQ,0,5/25/1988,1
DWQ,0,6/23/1988,
DWQ,0,7/28/1988,
DWQ,0,8/25/1988,3
DWQ,0,9/28/1988,3
DWQ,0,10/27/1988,1
DWQ,0,11/16/1988,1
DWQ,0,12/8/1988,1
DWQ,0,1/11/1989,1
DWQ,0,3/7/1989,3
DWQ,0,3/28/1989,3
DWQ,0,4/27/1989,1
DWQ,0,5/24/1989,1
DWQ,0,6/19/1989,2
DWQ,0,7/19/1989,1
DWQ,0,8/21/1989,1
DWQ,0,9/18/1989,2
DWQ,0,10/18/1989,1
DWQ,0,11/15/1989,4
DWQ,0,12/12/1989,1
DWQ,0,1/31/1990,4
DWQ,0,2/28/1990,6
DWQ,0,3/21/1990,1
DWQ,0,4/18/1990,8
DWQ,0,5/30/1990,1
DWQ,0,6/27/1990,2
DWQ,0,7/25/1990,5
DWQ,0,8/29/1990,1
DWQ,0,9/26/1990,3
DWQ,0,10/29/1990,1
DWQ,0,11/29/1990,1
DWQ,0,12/13/1990,1
DWQ,0,4/9/1991,5
DWQ,0,5/13/1991,1
DWQ,0,6/6/1991,4
DWQ,0,7/16/1991,1
DWQ,0,8/8/1991,1
DWQ,0,9/18/1991,1
DWQ,0,10/9/1991,1
DWQ,0,11/13/1991,1
DWQ,0,12/10/1991,1
DWQ,0,1/9/1992,1
DWQ,0,2/11/1992,1
DWQ,0,3/10/1992,3
DWQ,0,4/7/1992,2
DWQ,0,5/18/1992,1
DWQ,0,6/10/1992,1
DWQ,0,7/9/1992,1
DWQ,0,8/6/1992,2
DWQ,0,9/10/1992,2
DWQ,0,10/12/1992,1
DWQ,0,11/5/1992,1
DWQ,0,12/9/1992,1
DWQ,0,1/14/1993,1
DWQ,0,2/9/1993,2
DWQ,0,3/9/1993,2
DWQ,0,4/15/1993,2
DWQ,0,5/12/1993,1
DWQ,0,6/8/1993,1
DWQ,0,7/12/1993,2
DWQ,0,8/17/1993,2
DWQ,0,9/8/1993,3
DWQ,0,10/18/1993,1
DWQ,0,11/9/1993,1
DWQ,0,2/8/1994,1
DWQ,0,3/15/1994,3
DWQ,0,4/12/1994,1
DWQ,0,5/18/1994,1
DWQ,0,6/8/1994,1
DWQ,0,7/12/1994,3
DWQ,0,8/10/1994,1
DWQ,0,9/1/1994,2
DWQ,0,10/27/1994,
DWQ,0,11/15/1994,1
DWQ,0,12/8/1994,1
DWQ,0,1/10/1995,1
DWQ,0,2/20/1995,1
DWQ,0,3/13/1995,4
DWQ,0,4/4/1995,
DWQ,0,5/3/1995,3
DWQ,0,6/8/1995,7
DWQ,0,7/11/1995,3
DWQ,0,8/9/1995,2
DWQ,0,9/6/1995,1.4
DWQ,0,10/11/1995,2
DWQ,0,11/13/1995,1
DWQ,0,12/13/1995,5
DWQ,0,1/11/1996,4
DWQ,0,2/13/1996,9
DWQ,0,3/13/1996,4
DWQ,0,4/10/1996,4
DWQ,0,4/11/1996,4
DWQ,0,5/6/1996,4
DWQ,0,6/13/1996,3
DWQ,0,7/2/1996,7
DWQ,0,7/30/1996,
DWQ,0,7/31/1996,
DWQ,0,8/27/1996,8
DWQ,0,9/18/1996,8
DWQ,0,10/10/1996,1
DWQ,0,10/29/1996,1
DWQ,0,11/25/1996,1
DWQ,0,12/17/1996,2
DWQ,0,1/29/1997,3
DWQ,0,2/26/1997,6
DWQ,0,3/25/1997,1
DWQ,0,4/15/1997,28
DWQ,0,5/19/1997,18
DWQ,0,6/17/1997,7
DWQ,0,7/15/1997,6
DWQ,0,8/12/1997,10
DWQ,0,9/9/1997,2
DWQ,0,9/23/1997,
DWQ,0,10/9/1997,2
DWQ,0,11/4/1997,1
DWQ,0,12/11/1997,1
DWQ,0,12/29/1997,1
DWQ,0,1/13/1998,1
DWQ,0,1/21/1998,
DWQ,0,2/10/1998,1
DWQ,0,2/18/1998,
DWQ,0,3/2/1998,
DWQ,0,3/10/1998,1
DWQ,0,3/11/1998,
DWQ,0,4/7/1998,1
DWQ,0,5/6/1998,1
DWQ,0,5/14/1998,
DWQ,0,6/2/1998,1
DWQ,0,6/30/1998,4
DWQ,0,7/30/1998,4
DWQ,0,8/25/1998,3
DWQ,0,9/23/1998,
DWQ,0,10/21/1998,1
DWQ,0,11/17/1998,1
DWQ,0,12/17/1998,1
DWQ,0,1/13/1999,1.18
DWQ,0,1/13/1999,
DWQ,0,2/9/1999,6
DWQ,0,3/11/1999,1
DWQ,0,4/8/1999,1
DWQ,0,5/4/1999,1
DWQ,0,7/1/1999,3.19
DWQ,0,7/27/1999,9.44
DWQ,0,8/24/1999,4.9
DWQ,0,9/27/1999,1.01
DWQ,0,10/14/1999,
DWQ,0,10/18/1999,4.32
DWQ,0,11/15/1999,3.02
DWQ,0,12/15/1999,1.8
DWQ,5,1/30/1979,
DWQ,5,2/20/1979,
DWQ,5,3/12/1979,14
DWQ,5,4/4/1979,10
DWQ,5,4/17/1979,10
DWQ,5,5/8/1979,28
DWQ,5,5/21/1979,10
DWQ,5,6/5/1979,10
DWQ,5,6/20/1979,10
DWQ,5,7/10/1979,
DWQ,5,7/13/1979,57
DWQ,5,7/18/1979,15
DWQ,5,7/25/1979,11
DWQ,5,8/6/1979,38
DWQ,5,8/21/1979,28
DWQ,5,9/4/1979,18
DWQ,5,9/19/1979,10
DWQ,5,10/4/1979,
DWQ,5,11/5/1979,11
DWQ,5,11/14/1979,10
DWQ,5,12/5/1979,10
DWQ,5,5/13/1980,20
DWQ,5,6/5/1980,26
DWQ,5,8/7/1980,34
DWQ,5,8/26/1980,26
DWQ,5,9/8/1980,21
DWQ,5,10/6/1980,10
DWQ,5,11/6/1980,10
DWQ,5,12/9/1980,10
DWQ,5,1/15/1981,10
DWQ,5,2/10/1981,10
DWQ,5,3/17/1981,10
DWQ,5,4/16/1981,21
DWQ,5,5/26/1981,26
DWQ,5,6/17/1981,10
DWQ,5,7/28/1981,15
DWQ,5,8/25/1981,2
DWQ,5,9/21/1981,15
DWQ,5,10/19/1981,8
DWQ,5,11/19/1981,3
DWQ,5,12/14/1981,11
DWQ,5,1/25/1982,1
DWQ,5,2/22/1982,4
DWQ,5,3/29/1982,1
DWQ,5,4/27/1982,4
DWQ,5,5/12/1982,11
DWQ,5,6/14/1982,1
DWQ,5,7/20/1982,4
DWQ,5,8/31/1982,15
DWQ,5,9/13/1982,37
DWQ,5,10/19/1982,4
DWQ,5,11/9/1982,1
DWQ,5,12/7/1982,2
DWQ,5,1/24/1983,1
DWQ,5,2/24/1983,3
DWQ,5,2/25/1983,
DWQ,5,3/29/1983,1
DWQ,5,4/12/1983,2
DWQ,5,5/5/1983,2
DWQ,5,6/14/1983,1
DWQ,5,7/6/1983,2
DWQ,5,8/25/1983,4
DWQ,5,9/26/1983,9
DWQ,5,10/19/1983,6
DWQ,5,11/3/1983,3
DWQ,5,11/28/1983,
DWQ,5,12/28/1983,2
DWQ,5,1/17/1984,1
DWQ,5,2/22/1984,
DWQ,5,3/26/1984,
DWQ,5,4/24/1984,
DWQ,5,4/26/1984,
DWQ,5,5/16/1984,
DWQ,5,6/12/1984,
DWQ,5,7/11/1984,
DWQ,5,8/8/1984,
DWQ,5,9/24/1984,
DWQ,5,10/16/1984,
DWQ,5,11/8/1984,
DWQ,5,12/4/1984,
DWQ,5,1/29/1985,
DWQ,5,2/13/1985,
DWQ,5,2/15/1985,
DWQ,5,3/13/1985,
DWQ,5,4/17/1985,
DWQ,5,5/8/1985,
DWQ,5,6/24/1985,
DWQ,5,7/9/1985,
DWQ,5,8/29/1985,
DWQ,5,9/12/1985,
DWQ,5,10/8/1985,
DWQ,5,11/6/1985,
DWQ,5,12/11/1985,
DWQ,5,1/14/1986,3
DWQ,5,2/13/1986,
DWQ,5,3/7/1986,
DWQ,5,3/17/1986,
DWQ,5,4/3/1986,
DWQ,5,5/5/1986,
DWQ,5,6/18/1986,
DWQ,5,7/9/1986,
DWQ,5,8/25/1986,
DWQ,5,9/23/1986,
DWQ,5,10/28/1986,23
DWQ,5,1/15/1987,5
DWQ,5,3/18/1987,12
DWQ,5,4/6/1987,3
DWQ,5,5/12/1987,5
DWQ,5,6/9/1987,90
DWQ,5,7/16/1987,18
DWQ,5,8/18/1987,3
DWQ,5,9/8/1987,15
DWQ,5,9/9/1987,
DWQ,5,10/21/1987,
DWQ,5,11/9/1987,14
DWQ,5,12/30/1987,1
DWQ,5,1/19/1988,1
DWQ,5,2/15/1988,4
DWQ,5,3/9/1988,8
DWQ,5,3/28/1988,
DWQ,5,4/7/1988,2
DWQ,5,5/25/1988,1
DWQ,5,6/23/1988,
DWQ,5,7/28/1988,
DWQ,5,8/25/1988,4
DWQ,5,9/28/1988,2
DWQ,5,10/27/1988,1
DWQ,5,11/16/1988,1
DWQ,5,12/8/1988,1
DWQ,5,1/11/1989,1
DWQ,5,3/7/1989,2
DWQ,5,3/28/1989,2
DWQ,5,4/27/1989,1
DWQ,5,5/24/1989,1
DWQ,5,6/19/1989,2
DWQ,5,7/19/1989,1
DWQ,5,8/21/1989,1
DWQ,5,9/18/1989,3
DWQ,5,10/18/1989,1
DWQ,5,11/15/1989,1
DWQ,5,12/12/1989,1
DWQ,5,1/31/1990,1
DWQ,5,2/28/1990,6
DWQ,5,3/21/1990,1
DWQ,5,4/18/1990,7
DWQ,5,5/30/1990,1
DWQ,5,6/27/1990,2
DWQ,5,7/25/1990,4
DWQ,5,8/29/1990,1
DWQ,5,9/26/1990,4
DWQ,5,10/29/1990,1
DWQ,5,11/29/1990,1
DWQ,5,12/13/1990,1
DWQ,5,4/9/1991,7
DWQ,5,5/13/1991,2
DWQ,5,6/6/1991,4
DWQ,5,7/16/1991,1
DWQ,5,8/8/1991,1
DWQ,5,9/18/1991,10
DWQ,5,10/9/1991,1
DWQ,5,11/13/1991,1
DWQ,5,12/10/1991,1
DWQ,5,1/9/1992,1
DWQ,5,2/11/1992,1
DWQ,5,3/10/1992,3
DWQ,5,4/7/1992,1
DWQ,5,5/18/1992,3
DWQ,5,6/10/1992,3
DWQ,5,7/9/1992,2
DWQ,5,8/6/1992,1
DWQ,5,9/10/1992,4
DWQ,5,10/12/1992,1
DWQ,5,11/5/1992,1
DWQ,5,12/9/1992,1
DWQ,5,1/14/1993,1
DWQ,5,2/9/1993,1
DWQ,5,3/9/1993,1
DWQ,5,4/15/1993,2
DWQ,5,5/12/1993,2
DWQ,5,6/8/1993,1
DWQ,5,7/12/1993,2
DWQ,5,8/17/1993,5
DWQ,5,9/8/1993,12
DWQ,5,10/18/1993,2
DWQ,5,11/9/1993,1
DWQ,5,2/8/1994,1
DWQ,5,3/15/1994,1
DWQ,5,4/12/1994,3
DWQ,5,5/18/1994,1
DWQ,5,6/8/1994,2
DWQ,5,7/12/1994,2
DWQ,5,8/10/1994,1
DWQ,5,9/1/1994,1
DWQ,5,10/27/1994,
DWQ,5,11/15/1994,1
DWQ,5,12/8/1994,1
DWQ,5,1/10/1995,1
DWQ,5,2/20/1995,1
DWQ,5,3/13/1995,3
DWQ,5,4/4/1995,
DWQ,5,5/3/1995,3
DWQ,5,6/8/1995,8
DWQ,5,7/11/1995,2
DWQ,5,8/9/1995,2
DWQ,5,9/6/1995,1
DWQ,5,10/11/1995,2
DWQ,5,11/13/1995,1
DWQ,5,12/13/1995,5
DWQ,5,1/11/1996,4
DWQ,5,2/13/1996,5
DWQ,5,3/13/1996,5
DWQ,5,4/10/1996,5
DWQ,5,5/6/1996,
DWQ,5,6/13/1996,20
DWQ,5,7/2/1996,10
DWQ,5,7/31/1996,5
DWQ,5,8/27/1996,5
DWQ,5,9/18/1996,7
DWQ,5,10/10/1996,1
DWQ,5,10/29/1996,1
DWQ,5,11/25/1996,1
DWQ,5,12/17/1996,1
DWQ,5,1/29/1997,3
DWQ,5,2/26/1997,5
DWQ,5,3/25/1997,1
DWQ,5,4/15/1997,41
DWQ,5,5/19/1997,18
DWQ,5,6/17/1997,5
DWQ,5,7/15/1997,12
DWQ,5,8/12/1997,
DWQ,5,9/9/1997,5
DWQ,5,10/9/1997,2
DWQ,5,11/4/1997,1
DWQ,5,12/11/1997,1
DWQ,5,12/29/1997,1
DWQ,5,1/13/1998,1
DWQ,5,1/21/1998,
DWQ,5,2/10/1998,1
DWQ,5,3/2/1998,
DWQ,5,3/10/1998,1
DWQ,5,3/11/1998,
DWQ,5,4/7/1998,1
DWQ,5,5/6/1998,1
DWQ,5,5/14/1998,
DWQ,5,6/2/1998,1
DWQ,5,6/30/1998,13
DWQ,5,7/30/1998,1
DWQ,5,8/25/1998,2
DWQ,5,9/23/1998,2
DWQ,5,10/21/1998,1
DWQ,5,11/17/1998,1
DWQ,5,12/17/1998,1
DWQ,5,1/13/1999,1.06
DWQ,5,2/9/1999,5
DWQ,5,3/11/1999,1
DWQ,5,4/8/1999,1
DWQ,5,5/4/1999,1
DWQ,5,7/1/1999,13.83
DWQ,5,7/27/1999,7.85
DWQ,5,8/24/1999,6.12
DWQ,5,9/27/1999,2.09
DWQ,5,10/14/1999,3.67
DWQ,5,10/18/1999,7.32
DWQ,5,11/15/1999,2.3
DWQ,5,12/13/1999,1.44
DWQ,5,12/15/1999,
DWQ,10,7/15/1997,
DWQ,10,8/12/1997,
DWQ,10,9/9/1997,
DWQ,10,9/23/1997,
DWQ,10,10/9/1997,
DWQ,10,11/4/1997,
DWQ,10,1/13/1998,
DWQ,10,2/10/1998,
DWQ,10,3/11/1998,
DWQ,10,4/7/1998,
DWQ,10,5/6/1998,
DWQ,10,6/2/1998,
DWQ,10,6/30/1998,
DWQ,10,7/30/1998,
DWQ,10,8/25/1998,
DWQ,10,9/23/1998,
DWQ,10,10/21/1998,
DWQ,10,11/17/1998,
DWQ,10,1/13/1999,
DWQ,10,2/9/1999,
DWQ,10,3/11/1999,
DWQ,10,4/8/1999,
DWQ,10,5/4/1999,
DWQ,10,7/1/1999,
DWQ,10,7/27/1999,
DWQ,10,8/24/1999,
DWQ,10,9/27/1999,
DWQ,10,11/15/1999,
DWQ,10,12/15/1999,
DWQ,20,1/30/1979,
DWQ,20,2/20/1979,
DWQ,20,3/12/1979,10
DWQ,20,3/21/1979,
DWQ,20,4/4/1979,10
DWQ,20,4/17/1979,10
DWQ,20,5/8/1979,29
DWQ,20,5/21/1979,10
DWQ,20,6/5/1979,10
DWQ,20,6/7/1979,
DWQ,20,6/20/1979,10
DWQ,20,7/10/1979,
DWQ,20,7/13/1979,22
DWQ,20,7/18/1979,10.33
DWQ,20,7/25/1979,10
DWQ,20,8/6/1979,10
DWQ,20,8/21/1979,30
DWQ,20,9/4/1979,18
DWQ,20,9/19/1979,10
DWQ,20,10/4/1979,
DWQ,20,11/5/1979,10
DWQ,20,11/14/1979,10
DWQ,20,12/5/1979,10
DWQ,20,1/10/1980,
DWQ,20,1/29/1980,
DWQ,20,2/15/1980,
DWQ,20,3/20/1980,
DWQ,20,4/18/1980,
DWQ,20,5/13/1980,20
DWQ,20,6/5/1980,13
DWQ,20,8/7/1980,15
DWQ,20,8/26/1980,28
DWQ,20,9/8/1980,39
DWQ,20,10/6/1980,10
DWQ,20,11/6/1980,11
DWQ,20,12/9/1980,10
DWQ,20,1/15/1981,10
DWQ,20,2/10/1981,10
DWQ,20,3/17/1981,10
DWQ,20,4/16/1981,18
DWQ,20,5/26/1981,11
DWQ,20,6/17/1981,10
DWQ,20,7/28/1981,13
DWQ,20,8/25/1981,1
DWQ,20,9/21/1981,7
DWQ,20,10/19/1981,2
DWQ,20,11/19/1981,4
DWQ,20,12/14/1981,23
DWQ,20,1/25/1982,1
DWQ,20,2/22/1982,3
DWQ,20,3/29/1982,1
DWQ,20,4/27/1982,4
DWQ,20,5/12/1982,11
DWQ,20,6/14/1982,2
DWQ,20,7/20/1982,7
DWQ,20,8/31/1982,9
DWQ,20,9/13/1982,21
DWQ,20,10/19/1982,4
DWQ,20,11/9/1982,1
DWQ,20,12/7/1982,3
DWQ,20,1/24/1983,1
DWQ,20,2/24/1983,2
DWQ,20,2/25/1983,
DWQ,20,3/29/1983,1
DWQ,20,4/12/1983,1
DWQ,20,5/5/1983,2
DWQ,20,6/14/1983,1
DWQ,20,7/6/1983,10
DWQ,20,8/25/1983,23
DWQ,20,9/26/1983,5
DWQ,20,10/19/1983,9
DWQ,20,11/3/1983,4
DWQ,20,11/28/1983,
DWQ,20,12/28/1983,2
DWQ,20,1/17/1984,2
DWQ,20,2/22/1984,2
DWQ,20,3/26/1984,3
DWQ,20,4/26/1984,1
DWQ,20,5/16/1984,2
DWQ,20,6/12/1984,3
DWQ,20,7/11/1984,11
DWQ,20,8/8/1984,2
DWQ,20,9/21/1984,1
DWQ,20,10/16/1984,2
DWQ,20,11/8/1984,1
DWQ,20,12/4/1984,1
DWQ,20,1/29/1985,3
DWQ,20,2/13/1985,2
DWQ,20,2/15/1985,
DWQ,20,3/13/1985,10
DWQ,20,4/17/1985,5
DWQ,20,5/8/1985,11
DWQ,20,6/7/1985,
DWQ,20,6/24/1985,26
DWQ,20,7/9/1985,10
DWQ,20,8/29/1985,4
DWQ,20,9/12/1985,52
DWQ,20,10/8/1985,23
DWQ,20,11/6/1985,1
DWQ,20,12/11/1985,1
DWQ,20,1/14/1986,5
DWQ,20,2/13/1986,7
DWQ,20,3/17/1986,4
DWQ,20,4/3/1986,33
DWQ,20,5/5/1986,11
DWQ,20,6/18/1986,7
DWQ,20,7/9/1986,13
DWQ,20,8/25/1986,1
DWQ,20,9/23/1986,6
DWQ,20,10/28/1986,15
DWQ,20,1/15/1987,4
DWQ,20,3/18/1987,10
DWQ,20,4/6/1987,3
DWQ,20,5/12/1987,3
DWQ,20,6/9/1987,41
DWQ,20,6/19/1987,
DWQ,20,7/16/1987,4
DWQ,20,8/18/1987,8
DWQ,20,9/8/1987,2
DWQ,20,9/9/1987,
DWQ,20,10/21/1987,22
DWQ,20,11/9/1987,23
DWQ,20,12/30/1987,1
DWQ,20,1/19/1988,1
DWQ,20,2/15/1988,13
DWQ,20,3/9/1988,9
DWQ,20,4/7/1988,3
DWQ,20,5/25/1988,2
DWQ,20,6/23/1988,3
DWQ,20,7/28/1988,3
DWQ,20,8/25/1988,24
DWQ,20,10/27/1988,4
DWQ,20,11/16/1988,1
DWQ,20,12/8/1988,2
DWQ,20,1/11/1989,8
DWQ,20,3/7/1989,2
DWQ,20,3/28/1989,4
DWQ,20,4/27/1989,1
DWQ,20,5/24/1989,1
DWQ,20,6/19/1989,2
DWQ,20,7/19/1989,1
DWQ,20,8/21/1989,1
DWQ,20,9/18/1989,1
DWQ,20,10/18/1989,1
DWQ,20,11/15/1989,1
DWQ,20,12/12/1989,1
DWQ,20,1/31/1990,3
DWQ,20,2/28/1990,5
DWQ,20,3/21/1990,1
DWQ,20,4/18/1990,7
DWQ,20,5/30/1990,1
DWQ,20,6/27/1990,2
DWQ,20,7/25/1990,5
DWQ,20,8/29/1990,3
DWQ,20,9/26/1990,21
DWQ,20,10/29/1990,1
DWQ,20,11/29/1990,1
DWQ,20,12/13/1990,1
DWQ,20,4/9/1991,6
DWQ,20,5/13/1991,1
DWQ,20,6/6/1991,18
DWQ,20,7/16/1991,2
DWQ,20,8/8/1991,1
DWQ,20,9/18/1991,10
DWQ,20,10/9/1991,1
DWQ,20,11/13/1991,2
DWQ,20,12/10/1991,4
DWQ,20,1/9/1992,1
DWQ,20,2/11/1992,1
DWQ,20,3/10/1992,3
DWQ,20,4/7/1992,1
DWQ,20,5/18/1992,5
DWQ,20,6/10/1992,2
DWQ,20,7/9/1992,1
DWQ,20,8/6/1992,15
DWQ,20,9/10/1992,3
DWQ,20,10/12/1992,1
DWQ,20,11/5/1992,1
DWQ,20,12/9/1992,1
DWQ,20,1/14/1993,1
DWQ,20,2/9/1993,3
DWQ,20,3/9/1993,1
DWQ,20,4/15/1993,1
DWQ,20,5/12/1993,1
DWQ,20,6/8/1993,1
DWQ,20,7/12/1993,1
DWQ,20,8/17/1993,68
DWQ,20,9/8/1993,6
DWQ,20,10/18/1993,17
DWQ,20,11/9/1993,3
DWQ,20,2/8/1994,1
DWQ,20,3/15/1994,2
DWQ,20,4/12/1994,3
DWQ,20,5/18/1994,1
DWQ,20,6/8/1994,1
DWQ,20,7/12/1994,2
DWQ,20,8/10/1994,2
DWQ,20,9/1/1994,1
DWQ,20,10/27/1994,1
DWQ,20,11/15/1994,19
DWQ,20,12/8/1994,1
DWQ,20,1/10/1995,1
DWQ,20,2/20/1995,1
DWQ,20,3/13/1995,4
DWQ,20,4/4/1995,
DWQ,20,5/3/1995,5
DWQ,20,6/8/1995,8
DWQ,20,7/11/1995,2
DWQ,20,8/9/1995,6
DWQ,20,9/6/1995,3
DWQ,20,10/11/1995,2
DWQ,20,11/13/1995,1
DWQ,20,12/13/1995,5
DWQ,20,1/11/1996,3
DWQ,20,2/13/1996,7
DWQ,20,3/13/1996,6
DWQ,20,4/10/1996,3
DWQ,20,4/11/1996,3
DWQ,20,5/6/1996,4
DWQ,20,6/13/1996,12
DWQ,20,7/2/1996,6
DWQ,20,7/30/1996,3
DWQ,20,7/31/1996,3
DWQ,20,8/27/1996,5
DWQ,20,9/18/1996,
DWQ,20,10/10/1996,1
DWQ,20,10/29/1996,1
DWQ,20,11/25/1996,1
DWQ,20,12/17/1996,2
DWQ,20,1/29/1997,4
DWQ,20,2/26/1997,5
DWQ,20,3/25/1997,1
DWQ,20,4/4/1997,
DWQ,20,4/15/1997,41
DWQ,20,5/19/1997,18
DWQ,20,6/17/1997,3
DWQ,20,7/15/1997,
DWQ,20,8/12/1997,14
DWQ,20,9/9/1997,10
DWQ,20,9/23/1997,
DWQ,20,10/9/1997,7
DWQ,20,11/4/1997,1
DWQ,20,12/11/1997,1
DWQ,20,12/29/1997,1
DWQ,20,1/13/1998,1
DWQ,20,1/21/1998,
DWQ,20,2/10/1998,1
DWQ,20,2/18/1998,
DWQ,20,3/2/1998,
DWQ,20,3/10/1998,1
DWQ,20,3/11/1998,
DWQ,20,4/7/1998,1
DWQ,20,5/6/1998,1
DWQ,20,5/14/1998,
DWQ,20,6/2/1998,1
DWQ,20,6/30/1998,5
DWQ,20,7/30/1998,1
DWQ,20,8/25/1998,2
DWQ,20,9/23/1998,3
DWQ,20,10/21/1998,1
DWQ,20,11/17/1998,1
DWQ,20,12/17/1998,1
DWQ,20,1/13/1999,1.37
DWQ,20,2/9/1999,7
DWQ,20,3/11/1999,1
DWQ,20,4/8/1999,2
DWQ,20,5/4/1999,1
DWQ,20,7/1/1999,1.06
DWQ,20,7/27/1999,17.16
DWQ,20,8/24/1999,15.56
DWQ,20,9/27/1999,2.23
DWQ,20,10/14/1999,7.85
DWQ,20,10/18/1999,
DWQ,20,11/15/1999,2.02
DWQ,20,12/15/1999,4.03
DWQ,30,9/23/1997,
DWQ,40,1/30/1979,
DWQ,40,2/20/1979,
DWQ,40,3/12/1979,10
DWQ,40,4/4/1979,10
DWQ,40,4/5/1979,
DWQ,40,4/17/1979,10
DWQ,40,5/8/1979,17.67
DWQ,40,5/21/1979,10
DWQ,40,6/5/1979,10
DWQ,40,6/20/1979,10
DWQ,40,7/10/1979,
DWQ,40,7/13/1979,10
DWQ,40,7/18/1979,10
DWQ,40,7/25/1979,10.67
DWQ,40,8/6/1979,94.33
DWQ,40,8/21/1979,22.67
DWQ,40,9/4/1979,22
DWQ,40,9/19/1979,10
DWQ,40,10/4/1979,
DWQ,40,11/5/1979,10
DWQ,40,11/6/1979,
DWQ,40,11/14/1979,10
DWQ,40,12/5/1979,10
DWQ,40,1/10/1980,
DWQ,40,2/15/1980,
DWQ,40,3/20/1980,
DWQ,40,4/18/1980,
DWQ,40,5/13/1980,10
DWQ,40,6/5/1980,10
