"","TPLoad","LU","Tillage","FAppMethd"
"154",0.104,"Pasture","Pasture","Other2"
"155",0.214,"Pasture","Pasture","Other2"
"156",0.204,"Pasture","Pasture","Other2"
"157",0.124,"Pasture","Pasture","Other2"
"158",0.214,"Pasture","Pasture","Other2"
"159",0.204,"Pasture","Pasture","Other2"
"160",0.284,"Pasture","Pasture","Other2"
"161",0.244,"Pasture","Pasture","Other2"
"162",0.024,"Pasture","Pasture","Other2"
"163",0.094,"Pasture","Pasture","Other2"
"164",0.104,"Pasture","Pasture","Other2"
"165",0.104,"Pasture","Pasture","Other2"
"166",0.154,"Pasture","Pasture","Other2"
"167",0.704,"Pasture","Pasture","Other2"
"168",0.034,"Pasture","Pasture","Other2"
"169",0.234,"Pasture","Pasture","Other2"
"170",0.494,"Pasture","Pasture","Other2"
"171",0.174,"Pasture","Pasture","Other2"
"172",4.134,"Pasture","Pasture","Other2"
"173",3.924,"Pasture","Pasture","Other2"
"174",0.124,"Pasture","Pasture","Other2"
"175",0.224,"Pasture","Pasture","Other2"
"176",0.024,"Pasture","Pasture","Other2"
"177",0.164,"Pasture","Pasture","Other2"
"178",0.284,"Pasture","Pasture","Other2"
"179",4.394,"Pasture","Pasture","Other2"
"180",0.304,"Rotation","Conventional","Other2"
"182",1.914,"Pasture","Pasture","Other2"
"185",0.254,"Pasture","Pasture","Other2"
"186",1.864,"Pasture","Pasture","Other2"
"191",0.004,"Pasture","Pasture","Other2"
"192",3.094,"Pasture","Pasture","Surface Applied"
"193",0.204,"Pasture","Pasture","Other2"
"194",1.274,"Pasture","Pasture","Other2"
"195",0.544,"Pasture","Pasture","Other2"
"197",5.904,"Peanuts","Conventional","Other2"
"198",4.404,"Peanuts","Conventional","Other2"
"201",4.304,"Peanuts","Conventional","Other2"
"202",6.004,"Peanuts","Conventional","Other2"
"203",0.104,"Pasture","Pasture","Other2"
"204",0.014,"Pasture","Pasture","Other2"
"206",0.034,"Pasture","Pasture","Other2"
"207",0.294,"Pasture","Pasture","Other2"
"208",0.074,"Pasture","Pasture","Other2"
"209",0.684,"Alfalfa","Pasture","Other2"
"210",8.664,"Corn","Conventional","Incorporated"
"211",5.254,"Oats.Wheat","Conventional","Incorporated"
"212",0.204,"Pasture","Pasture","Other2"
"213",0.204,"Pasture","Pasture","Other2"
"214",0.204,"Pasture","Pasture","Other2"
"215",0.204,"Pasture","Pasture","Surface Applied"
"216",1.184,"Sorghum","Conservation","Other2"
"217",0.084,"Sorghum","Conservation","Surface Applied"
"218",0.374,"Sorghum","Conservation","Other2"
"219",0.284,"Sorghum","No Till","Other2"
"220",0.854,"Sorghum","Conventional","Incorporated"
"221",2.514,"Sorghum","Conventional","Incorporated"
"222",1.234,"Sorghum","Conventional","Incorporated"
"223",3.184,"Sorghum","Conventional","Incorporated"
"224",4.734,"Sorghum","Conventional","Incorporated"
"225",0.734,"Rotation","Conservation","Other2"
"226",1.324,"Rotation","Conservation","Other2"
"227",0.584,"Rotation","Conservation","Other2"
"228",0.244,"Rotation","Conventional","Incorporated"
"230",0.314,"Rotation","Conservation","Surface Applied"
"231",0.734,"Rotation","Conservation","Surface Applied"
"234",0.354,"Soybeans","No Till","Other2"
"236",1.304,"Soybeans","No Till","Other2"
"237",4.604,"Rotation","Conservation","Surface Applied"
"238",0.004,"Rotation","Conservation","Other2"
"241",1.634,"Other","Conventional","Incorporated"
"242",2.934,"Other","Conventional","Incorporated"
"243",21.694,"Other","Conventional","Incorporated"
"244",1.614,"Other","Conventional","Incorporated"
"245",0.034,"Oats.Wheat","Conventional","Other2"
"246",3.004,"Oats.Wheat","Conventional","Other2"
"247",1.304,"Oats.Wheat","No Till","Other2"
"248",4.604,"Oats.Wheat","Conventional","Other2"
"249",1.104,"Oats.Wheat","No Till","Other2"
"250",2.004,"Oats.Wheat","Conventional","Other2"
"251",0.504,"Oats.Wheat","Conservation","Other2"
"252",3.034,"Oats.Wheat","Conventional","Incorporated"
"253",1.194,"Oats.Wheat","No Till","Surface Applied"
"254",1.394,"Oats.Wheat","Conventional","Incorporated"
"255",3.724,"Oats.Wheat","Conventional","Incorporated"
"256",5.674,"Oats.Wheat","Conventional","Incorporated"
"257",1.084,"Oats.Wheat","Conservation","Incorporated"
"258",5.044,"Oats.Wheat","Conventional","Incorporated"
"259",2.204,"Oats.Wheat","Conventional","Other2"
"260",2.944,"Oats.Wheat","Conventional","Surface Applied"
"261",1.474,"Oats.Wheat","No Till","Surface Applied"
"262",8.444,"Oats.Wheat","Conservation","Other2"
"263",0.104,"Oats.Wheat","Conservation","Other2"
"264",0.274,"Oats.Wheat","No Till","Other2"
"265",1.504,"Rotation","Conventional","Other2"
"266",0.424,"Rotation","Conservation","Other2"
"267",0.224,"Rotation","No Till","Other2"
"268",0.634,"Rotation","No Till","Other2"
"269",0.444,"Rotation","Conservation","Other2"
"270",0.544,"Rotation","Conservation","Other2"
"271",0.384,"Rotation","No Till","Other2"
"272",0.924,"Pasture","Pasture","Surface Applied"
"273",0.604,"Pasture","Pasture","Other2"
"274",0.524,"Pasture","Pasture","Other2"
