Form,Date,RM,SHORE,SF,DTSF,DTSF2,COND,TEMP,TDS,SALINITY,DO%,DO,Effort,CATCH,CPUE,YEAR,MON,pa,AREA_2,S_Tide,P_Tide,Experimental_Net_ID,Experimental_Net
201317047,4/9/13 0:00,40,3,54,-14,0.28,869,7.5,845,0.65,115.4,13.85,375.35,0,0,2013,4,0,,4,4,b,1
201317050,4/9/13 0:00,39,1,54,-15,0.27,2617,7.7,2541,2.07,111.3,13.06,362.66,0,0,2013,4,0,,4,2,b,1
201317051,4/10/13 0:00,40,3,52,-12,0.31,658,7.7,643.5,0.49,109.8,13.04,453.33,1,0.220589857,2013,4,1,,4,4,B,1
201317054,4/10/13 0:00,39,1,52,-13,0.29,1555,8.3,1469,1.16,107.4,12.53,466.02,0,0,2013,4,0,,4,2,B,1
201417003,4/3/14 0:00,36,1,24,12,0.62,218.9,2.5,249.6,0.18,,,391.07,0,0,2014,4,0,,2,3,B,1
201417006,4/3/14 0:00,35,1,24,11,0.6,223.2,3.1,248.95,0.18,,,375.96,0,0,2014,4,0,,3,4,B,1
201417007,4/4/14 0:00,35,3,24,11,0.6,227.6,3.4,252.2,0.19,,,369.31,0,0,2014,4,0,,2,3,B,1
201417010,4/4/14 0:00,35,3,24,11,0.6,231.5,3.8,252.85,0.19,,,386.84,1,0.258504808,2014,4,1,,3,4,B,1
201417014,4/7/14 0:00,36,3,34,2,0.49,239.3,4.6,254.8,0.19,105.4,13.61,1109.33,0,0,2014,4,0,,2,2,B,1
201417016,4/7/14 0:00,36,3,34,2,0.49,237.3,4.8,250.9,0.19,113.9,14.61,370.75,3,0.8091706,2014,4,1,,3,4,B,1
201417038,4/17/14 0:00,38,3,32,6,0.54,197.8,8.2,189.8,0.14,97.5,11.65,420.69,0,0,2014,4,0,,3,4,B,1
201417060,4/28/14 0:00,38,1,36,2,0.49,179.4,11.4,157.3,0.12,96.7,10.48,395.91,0,0,2014,4,0,,4,1,B,1
201417062,4/29/14 0:00,37,1,36,1,0.47,180.7,11.9,156.65,0.12,96.6,10.48,375.35,6,1.598508059,2014,4,1,,4,4,B,1
201417066,4/29/14 0:00,37,1,36,1,0.47,442.3,11.8,384.15,0.29,98.2,10.57,362.66,4,1.102961451,2014,4,1,,4,2,B,1
201417069,4/30/14 0:00,36,3,36,0,0.46,186,11.8,162.5,0.12,92,9.92,435.8,0,0,2014,4,0,,3,4,B,1
201417072,5/1/14 0:00,35,1,34,1,0.47,179.6,11.8,156,0.11,88.8,9.6,422.5,3,0.710059172,2014,5,1,,3,4,B,1
201417074,5/1/14 0:00,37,3,34,3,0.5,174.6,11.3,153.4,0.11,90,9.84,352.39,0,0,2014,5,0,,4,4,B,1
201417077,5/2/14 0:00,36,1,30,6,0.54,170.2,11,150.8,0.11,99.6,10.96,384.42,0,0,2014,5,0,,2,4,B,1
201417080,5/2/14 0:00,38,1,30,8,0.56,169.2,11,150.15,0.11,93.7,10.29,272.6,2,0.733675715,2014,5,1,,4,4,B,1
201417082,5/5/14 0:00,35,3,28,7,0.55,168.5,11.3,148.2,0.11,98.9,10.82,362.66,0,0,2014,5,0,,2,2,B,1
201417084,5/5/14 0:00,38,3,28,10,0.59,164.3,10.9,146.25,0.11,97.1,10.72,383.21,6,1.565721145,2014,5,1,,2,4,B,1
201417088,5/6/14 0:00,39,3,32,7,0.55,169.9,11.7,148.2,0.11,106.6,11.53,377.17,3,0.795397301,2014,5,1,,2,2,B,1
201317001,3/21/13 0:00,37,3,54,-17,0.24,,,,,,,374.15,1,0.267272484,2013,3,1,,2,2,a,1
201317004,3/21/13 0:00,38,1,54,-16,0.26,,,,,,,380.19,0,0,2013,3,0,,2,4,a,1
201317005,3/22/13 0:00,38,3,57,-19,0.22,3470,4,3760.5,2.79,120.4,15.6,375.96,0,0,2013,3,0,,2,2,a,1
201317008,3/22/13 0:00,37,3,57,-20,0.21,3232,3.8,3529.5,2.91,114.2,14.74,377.77,0,0,2013,3,0,,2,2,a,1
201317010,3/26/13 0:00,35,3,62,-27,0.12,13837,4.3,14904.5,13.7,106,12.6,368.71,0,0,2013,3,0,,4,1,a,1
201317013,3/26/13 0:00,35,1,62,-27,0.12,14198,4.2,15294.6,14.62,103.7,12.3,426.13,1,0.234670171,2013,3,1,,2,2,a,1
201317015,3/27/13 0:00,39,1,62,-23,0.17,5855,4.2,6293.5,5.39,108.6,13.65,384.42,1,0.260132147,2013,3,1,,4,1,a,1
201317018,3/27/13 0:00,39,3,62,-23,0.17,7566,4.4,8099,7.06,107.1,13.23,402.56,0,0,2013,3,0,,1,2,a,1
201317056,4/11/13 0:00,40,1,52,-12,0.31,367,7.3,360.4,0.27,98.4,11.94,366.29,0,0,2013,4,0,,4,4,A,1
201317059,4/11/13 0:00,38,3,52,-14,0.28,505,8,487.5,0.37,103,12.22,371.73,0,0,2013,4,0,,4,2,a,1
201317062,4/15/13 0:00,39,3,35,4,0.51,203.6,7.3,199.55,0.15,88.2,10.79,413.43,0,0,2013,4,0,,2,4,a,1
201317065,4/15/13 0:00,38,1,35,3,0.5,206.6,7.6,200.85,0.15,102.9,12.3,389.86,1,0.256502334,2013,4,1,,4,4,a,1
201317066,4/16/13 0:00,35,1,35,0,0.46,750,8.1,728,0.56,,,636.16,1,0.157193159,2013,4,1,,2,2,a,1
201317069,4/16/13 0:00,35,3,35,0,0.46,211.6,8.3,201.5,0.15,95.5,11.26,398.93,0,0,2013,4,0,,2,4,a,1
201317072,4/17/13 0:00,36,1,36,0,0.46,215,8.7,202.8,0.15,101.5,11.84,393.49,0,0,2013,4,0,,2,2,A,1
201317074,4/17/13 0:00,37,1,36,1,0.47,214.5,8.9,200.85,0.15,101.1,11.68,377.17,0,0,2013,4,0,,2,2,a,1
201317076,4/18/13 0:00,37,1,38,-1,0.45,1379,9,1261,0.99,,,371.73,0,0,2013,4,0,,2,2,a,1
201317079,4/18/13 0:00,36,3,38,-2,0.44,1455,9,1365,1.08,112.8,12.95,420.69,0,0,2013,4,0,,2,2,a,1
201317082,4/22/13 0:00,40,3,44,-4,0.41,1051,10.2,955.5,0.74,107.4,12.01,475.09,0,0,2013,4,0,,2,2,a,1
201317084,4/23/13 0:00,36,1,44,-8,0.36,11679,9.7,10640,9.66,111.5,11.9,380.79,0,0,2013,4,0,,1,2,a,1
201317087,4/23/13 0:00,35,1,44,-9,0.35,2242,10.1,2021.5,1.71,,,374.75,0,0,2013,4,0,,2,2,a,1
201317089,4/24/13 0:00,38,3,44,-6,0.38,4551,10.4,4114,3.52,108.9,11.94,383.82,0,0,2013,4,0,,4,4,a,1
201317092,4/24/13 0:00,35,3,44,-9,0.35,5672,10.1,5135,4.9,113.2,12.35,377.17,2,0.530264867,2013,4,1,,4,3,a,1
201317094,4/25/13 0:00,39,3,44,-5,0.4,909,10.6,819,0.62,,,377.17,5,1.325662168,2013,4,1,,4,4,a,1
201317097,4/25/13 0:00,40,1,44,-4,0.41,1750,10.7,1573,1.26,108,11.83,366.29,0,0,2013,4,0,,4,1,a,1
201317098,4/26/13 0:00,40,1,44,-4,0.41,715,10.6,637,0.48,104.9,11.68,362.66,0,0,2013,4,0,,4,4,a,1
201417020,4/9/14 0:00,36,1,39,-3,0.42,1142,5.4,1196,0.83,,,357.22,1,0.279939533,2014,4,1,,4,4,A,1
201417023,4/9/14 0:00,37,1,39,-2,0.44,256,5.3,267.15,0.2,102.4,12.87,852.79,1,0.117262163,2014,4,1,,4,2,A,1
201417028,4/14/14 0:00,37,1,41,-4,0.41,309.2,7.3,304.2,0.23,115.6,13.75,389.86,0,0,2014,4,0,,4,4,A,1
201417029,4/14/14 0:00,38,1,41,-3,0.42,319.5,7.7,310.7,0.23,106.5,12.72,330.02,1,0.303011939,2014,4,1,,1,2,A,1
201417042,4/21/14 0:00,36,3,25,11,0.6,198.4,9.6,182.65,0.13,91.9,10.46,395.3,0,0,2014,4,0,,2,2,A,1
201417046,4/21/14 0:00,39,3,25,14,0.64,188.1,9.7,172.9,0.13,109.6,12.52,58.02,0,0,2014,4,0,,4,4,A,1
201417049,4/22/14 0:00,35,3,29,6,0.54,204.7,10.3,185.25,0.14,102.4,11.46,377.17,0,0,2014,4,0,,2,2,A,1
201417051,4/22/14 0:00,36,3,29,7,0.55,197.4,10.7,176.15,0.13,93,10.27,348.15,0,0,2014,4,0,,2,4,A,1
201417053,4/23/14 0:00,37,1,31,6,0.54,202.3,10.9,180.45,0.13,94,10.34,412.83,2,0.484460916,2014,4,1,,2,2,A,1
200917049,4/16/09 0:00,36,3,42,-6,0.38,3999,8.6,3.8,3.17,99,11.3,1173.33,6,0.511365089,2009,4,1,,2,4,,0
200917050,4/17/09 0:00,38,3,39,-1,0.45,6527,8.3,6.24,5.41,97,11.1,1217.77,3,0.246351938,2009,4,1,,2,2,,0
200917051,4/17/09 0:00,38,3,39,-1,0.45,8435,8.1,7.93,6.15,94,10.5,1223.7,4,0.326877503,2009,4,1,,2,2,,0
200917052,4/17/09 0:00,37,1,39,-2,0.44,2795,9.2,2.58,2.11,100,11.3,1140.74,0,0,2009,4,0,,2,4,,0
200917053,4/17/09 0:00,38,3,39,-1,0.45,4832,8.5,4.51,3.86,97,11.1,1146.66,6,0.523258856,2009,4,1,,2,2,,0
200917054,4/20/09 0:00,37,1,62,-25,0.14,4867,10,4.42,3.75,101,11.1,1051.85,0,0,2009,4,0,,4,1,,0
200917055,4/20/09 0:00,38,1,62,-24,0.15,4278,10.1,3.94,3.34,101,11.2,1057.77,0,0,2009,4,0,,4,2,,0
200917056,4/21/09 0:00,36,3,64,-28,0.1,18758,8,18.05,16.9,91,9.7,1072.59,0,0,2009,4,0,,2,2,,0
200917057,4/21/09 0:00,36,3,64,-28,0.1,19404,7.9,18.72,17.66,90,9.5,1253.33,2,0.159574892,2009,4,1,,2,2,,0
200917058,4/21/09 0:00,38,1,64,-26,0.13,7383,9.5,6.98,6.03,97,10.6,1155.55,0,0,2009,4,0,,2,2,,0
200917059,4/21/09 0:00,38,1,64,-26,0.13,6142,9.7,5.65,4.91,100,11,1677.03,6,0.357775353,2009,4,1,,2,2,,0
200917060,4/22/09 0:00,38,1,65,-27,0.12,6657,9.7,6.11,5.3,98,10.8,1125.92,2,0.177632514,2009,4,1,,4,1,,0
200917061,4/22/09 0:00,38,3,65,-27,0.12,8273,9.6,7.61,6.67,97,10.6,1457.77,4,0.274391708,2009,4,1,,4,2,,0
200917062,4/23/09 0:00,37,1,64,-27,0.12,6704,9.6,6.16,5.39,92,10.1,1182.22,0,0,2009,4,0,,4,4,,0
200917063,4/23/09 0:00,37,1,64,-27,0.12,12222,9.1,6.42,8,91,9.7,962.96,1,0.103846473,2009,4,1,,4,2,,0
200917064,4/24/09 0:00,37,3,63,-26,0.13,8565,8.9,7.9,6.92,92,9.9,1072.59,1,0.09323227,2009,4,1,,4,4,,0
200917065,4/24/09 0:00,36,3,63,-27,0.12,8618,9.7,7.9,6.97,94,10.1,1345.18,5,0.371697468,2009,4,1,,4,4,,0
200917066,4/24/09 0:00,36,3,63,-27,0.12,8110,9.7,7.4,6.54,94,10.2,1282.96,1,0.077944753,2009,4,1,,4,1,,0
200917067,4/24/09 0:00,36,3,63,-27,0.12,8558,9.6,8.17,7.2,93,10.1,746.66,0,0,2009,4,0,,1,2,,0
200917068,4/27/09 0:00,38,3,59,-21,0.19,4856,11.7,4.23,3.58,95,10.1,1102.22,4,0.362903957,2009,4,1,,2,4,,0
200917069,4/27/09 0:00,39,3,59,-20,0.21,4426,11.5,3.87,3.26,96,10.2,1499.25,5,0.333500083,2009,4,1,,3,4,,0
200917070,4/27/09 0:00,39,3,59,-20,0.21,5429,11.8,4.71,4.01,95,10,1398.51,8,0.572037383,2009,4,1,,4,4,,0
200917071,4/28/09 0:00,39,3,58,-19,0.22,3980,12.1,3.42,2.86,96,10.1,1090.37,6,0.550271926,2009,4,1,,4,4,,0
200917072,4/28/09 0:00,38,3,58,-20,0.21,4024,12.2,3.46,2.89,96,10,1602.96,14,0.873384239,2009,4,1,,4,4,,0
200917073,4/29/09 0:00,38,1,52,-14,0.28,2500,12.3,2.14,1.74,97,10.2,2545.18,0,0,2009,4,0,,2,4,,0
200917074,4/29/09 0:00,38,1,52,-14,0.28,2681,12.5,2.28,1.85,97,10.2,2574.81,0,0,2009,4,0,,2,4,,0
201017001,3/15/10 0:00,37,3,49,-12,0.31,6062,4,6.47,5.53,95,12.1,1120,0,0,2010,3,0,,4,2,,0
201017002,3/15/10 0:00,37,3,49,-12,0.31,4132,4,4.6,5.51,100,12.6,1075.55,0,0,2010,3,0,,4,2,,0
201017003,3/16/10 0:00,38,1,45,-7,0.37,1249,4.1,1.34,1.05,97,12.6,1084.44,0,0,2010,3,0,,4,4,,0
201017004,3/16/10 0:00,37,3,45,-8,0.36,3389,4.1,3.76,3.15,96,12.3,1182.22,2,0.16917325,2010,3,1,,4,4,,0
201017005,3/16/10 0:00,37,3,45,-8,0.36,4983,4.1,5.39,4.57,99,12.5,1146.66,5,0.436049047,2010,3,1,,1,2,,0
201017007,3/17/10 0:00,36,3,40,-4,0.41,2490,4.4,2.65,2.16,96,12.2,1042.96,2,0.191761908,2010,3,1,,2,3,,0
201017008,3/17/10 0:00,36,3,40,-4,0.41,3871,4.5,4.14,3.44,98,12.3,1182.22,1,0.084586625,2010,3,1,,2,3,,0
201017009,3/17/10 0:00,36,3,40,-4,0.41,2508,4.6,2.67,2.17,99,12.6,1102.22,3,0.272177968,2010,3,1,,3,4,,0
201017010,3/17/10 0:00,35,3,40,-5,0.4,2880,4.5,3.06,2.5,98,12.5,1167.4,2,0.171320884,2010,3,1,,3,4,,0
201017011,3/18/10 0:00,36,3,36,0,0.46,254.3,5.1,0.26,0.2,98,12.5,1282.96,15,1.169171291,2010,3,1,,3,4,,0
201017012,3/18/10 0:00,36,3,36,0,0.46,256.7,5.1,0.26,0.2,97,12.3,1668.14,5,0.299735034,2010,3,1,,4,4,,0
201017013,3/18/10 0:00,37,1,36,1,0.47,340.4,5,0.36,0.27,97,12.5,1268.14,0,0,2010,3,0,,4,2,,0
201017014,3/19/10 0:00,36,1,33,3,0.5,230.9,5.5,0.23,0.18,99,12.4,1034.07,0,0,2010,3,0,,2,3,,0
201017015,3/19/10 0:00,36,1,33,3,0.5,222.3,5.3,0.23,0.17,109,13.7,1054.81,0,0,2010,3,0,,2,3,,0
201017017,3/22/10 0:00,37,3,30,7,0.55,206.6,6.4,0.21,0.15,93,11.5,1143.7,0,0,2010,3,0,,2,2,,0
201017018,3/22/10 0:00,38,1,30,8,0.56,266.2,6.1,0.27,0.2,97,12,1122.96,0,0,2010,3,0,,2,3,,0
201017019,3/22/10 0:00,37,1,30,7,0.55,199,6.1,0.2,0.15,98,12.2,1114.07,0,0,2010,3,0,,3,4,,0
201017020,3/23/10 0:00,39,3,31,8,0.56,315,6.4,0.31,0.16,96,11.6,1149.62,0,0,2010,3,0,,2,2,,0
201017021,3/23/10 0:00,37,3,31,6,0.54,456.4,6.3,0.47,0.36,86,10.6,1028.14,1,0.097263019,2010,3,1,,2,2,,0
201017022,3/24/10 0:00,36,1,22,14,0.64,197.1,6.2,0.2,0.15,96,12,1226.66,0,0,2010,3,0,,2,2,,0
201017023,3/24/10 0:00,36,1,22,14,0.64,201.3,6.3,0.2,0.15,95,11.8,1120,0,0,2010,3,0,,2,2,,0
201017024,3/24/10 0:00,38,1,22,16,0.67,183.9,6.2,0.16,0.14,98,12.1,1256.29,0,0,2010,3,0,,2,4,,0
201017025,3/25/10 0:00,35,3,19,16,0.67,184.1,6.3,0.18,0.14,96,11.8,1120,0,0,2010,3,0,,4,2,,0
201017026,3/25/10 0:00,35,3,19,16,0.67,191,6.4,0.19,0.14,97,11.9,1156.14,0,0,2010,3,0,,2,2,,0
201017027,3/25/10 0:00,36,1,19,17,0.68,181.7,6.6,0.18,0.13,106,12.8,1131.85,0,0,2010,3,0,,2,2,,0
201017028,3/25/10 0:00,35,1,19,16,0.67,183.6,6.6,0.18,0.14,103,12.5,1155.55,0,0,2010,3,0,,2,2,,0
201017029,3/26/10 0:00,37,1,24,13,0.63,172,7.1,0.17,0.13,93,11.2,1191.11,1,0.083955302,2010,3,1,,4,1,,0
201017030,3/26/10 0:00,38,1,24,14,0.64,170,7,0.16,0.12,93,11.5,1099.25,0,0,2010,3,0,,4,2,,0
201017031,3/29/10 0:00,37,3,29,8,0.56,156.1,7.1,0.15,0.11,93,11.3,1096.29,2,0.18243348,2010,3,1,,4,4,,0
201017032,3/29/10 0:00,37,3,29,8,0.56,162.3,7.2,0.15,0.12,103,12.3,1262.22,5,0.396127458,2010,3,1,,4,4,,0
201017033,3/29/10 0:00,36,3,29,7,0.55,160.6,7.1,0.15,0.12,95,11.4,1158.51,1,0.08631777,2010,3,1,,4,2,,0
201017034,3/29/10 0:00,36,1,29,7,0.55,175.5,6.8,0.17,0.13,95,11.6,1134.81,0,0,2010,3,0,,4,2,,0
201017035,3/31/10 0:00,36,3,3,33,0.88,142.8,6.6,0.14,0.11,87,10.6,1288.88,0,0,2010,3,0,,4,2,,0
201017036,3/31/10 0:00,37,1,3,34,0.9,139.2,6.6,0.13,0.1,92,11.3,1357.03,1,0.073690338,2010,3,1,,1,2,,0
201017037,3/31/10 0:00,37,1,3,34,0.9,139.2,6.6,0.13,0.1,88,10.8,1312.59,0,0,2010,3,0,,2,2,,0
201017038,3/31/10 0:00,37,3,3,34,0.9,142.1,6.7,0.14,0.11,89,10.9,1253.33,1,0.079787446,2010,3,1,,2,3,,0
201017039,4/1/10 0:00,36,3,4,32,0.87,141.5,6.4,0.14,0.1,95,11.7,1117.03,2,0.179046221,2010,4,1,,2,3,,0
201017040,4/1/10 0:00,36,1,4,32,0.87,149.5,6.3,0.14,0.1,109,13.4,1140.74,0,0,2010,4,0,,2,4,,0
201017041,4/1/10 0:00,36,1,4,32,0.87,139.6,6.2,0.14,0.1,95,11.7,1161.48,1,0.086097049,2010,4,1,,3,4,,0
201017042,4/1/10 0:00,36,1,4,32,0.87,140.6,6.2,0.14,0.1,93,11.5,1066.66,0,0,2010,4,0,,4,4,,0
201017043,4/2/10 0:00,37,3,-2,39,0.96,134.7,6.3,0.13,0.1,93,11.5,1158.51,1,0.08631777,2010,4,1,,2,2,,0
201017044,4/2/10 0:00,40,1,-2,42,1,132.7,6.1,0.13,0.1,119,14.8,1223.7,0,0,2010,4,0,,2,4,,0
201017045,4/2/10 0:00,40,1,-2,42,1,132.4,6.1,0.14,0.1,98,12.3,1146.66,0,0,2010,4,0,,4,4,,0
201017046,4/5/10 0:00,39,3,5,34,0.9,138.7,7.3,0.13,0.1,100,12.1,1102.22,1,0.090725989,2010,4,1,,2,2,,0
201017047,4/5/10 0:00,38,3,5,33,0.88,139.9,7.5,0.13,0.1,89,10.7,1102.22,1,0.090725989,2010,4,1,,2,2,,0
201017048,4/6/10 0:00,39,3,29,10,0.59,209.8,7.8,0.2,0.15,100,11.9,1211.85,3,0.247555391,2010,4,1,,2,2,,0
201017049,4/6/10 0:00,39,3,29,10,0.59,159.9,7.8,0.14,0.11,95,11.4,1303.7,1,0.076704763,2010,4,1,,2,2,,0
201017050,4/6/10 0:00,39,3,29,10,0.59,170.9,7.7,0.16,0.12,101,12.1,1084.44,0,0,2010,4,0,,2,2,,0
201017051,4/6/10 0:00,39,3,29,10,0.59,144.8,7.7,0.14,0.1,102,12.2,1045.92,3,0.286828821,2010,4,1,,2,4,,0
201017052,4/7/10 0:00,37,3,30,7,0.55,148.9,8.5,0.14,0.1,99,11.6,1111.11,0,0,2010,4,0,,2,2,,0
201017053,4/7/10 0:00,36,3,30,6,0.54,150.2,8.4,0.14,0.1,110,12.9,1120,6,0.535714286,2010,4,1,,2,2,,0
201017054,4/7/10 0:00,36,3,30,6,0.54,150.2,8.4,0.14,0.1,117,13.4,1069.62,0,0,2010,4,0,,2,2,,0
201017055,4/8/10 0:00,40,3,31,9,0.58,150.1,8.6,0.14,0.1,94,10.9,1048.88,0,0,2010,4,0,,4,2,,0
201017056,4/8/10 0:00,40,3,31,9,0.58,150,8.6,0.14,0.1,99,11.6,1253.33,1,0.079787446,2010,4,1,,1,2,,0
201017057,4/8/10 0:00,37,3,31,6,0.54,150.6,8.7,0.14,0.1,93,10.9,1143.7,3,0.262306549,2010,4,1,,2,2,,0
201017058,4/9/10 0:00,37,1,33,4,0.51,430,9.3,0.42,0.36,96,11,1114.07,0,0,2010,4,0,,2,2,,0
201017059,4/9/10 0:00,36,3,33,3,0.5,5215,8.9,5.31,4.69,89,10.3,1090.37,1,0.091711988,2010,4,1,,2,2,,0
201017060,4/9/10 0:00,36,3,33,3,0.5,6200,8.7,,4.01,99,11,1081.48,2,0.18493176,2010,4,1,,2,2,,0
201017061,4/9/10 0:00,36,3,33,3,0.5,1100,8.7,1.03,0.89,89,10.1,1131.85,1,0.08835093,2010,4,1,,2,2,,0
201017062,4/12/10 0:00,41,1,42,-1,0.45,2590,9.7,2.37,1.97,99,11.1,1111.11,0,0,2010,4,0,,4,4,,0
201017063,4/12/10 0:00,39,3,42,-3,0.42,2227,9.8,2.04,1.66,105,11.8,1134.81,1,0.088120478,2010,4,1,,4,1,,0
201017064,4/12/10 0:00,39,3,42,-3,0.42,3186,9.9,2.91,2.42,107,12,1081.48,4,0.36986352,2010,4,1,,2,2,,0
201017065,4/12/10 0:00,39,3,42,-3,0.42,6316,9.4,5.83,5.02,102,11.2,1247.4,2,0.160333494,2010,4,1,,2,2,,0
201017066,4/13/10 0:00,39,3,45,-6,0.38,5006,9.9,4.57,3.88,111,12.1,1173.33,9,0.767047634,2010,4,1,,4,4,,0
201017067,4/13/10 0:00,39,3,45,-6,0.38,5760,9.7,5.4,4.63,97,10.7,1309.62,7,0.534506193,2010,4,1,,4,1,,0
201017068,4/13/10 0:00,35,3,45,-10,0.33,6666,9.6,6.14,5.34,93,10.3,1220.74,9,0.737257729,2010,4,1,,1,2,,0
201017069,4/13/10 0:00,35,3,45,-10,0.33,8066,9.5,7.45,6.54,99,10.8,1152.59,3,0.260283362,2010,4,1,,2,2,,0
201017070,4/14/10 0:00,35,3,48,-13,0.29,5011,10.1,4.55,3.85,99,10.8,1149.62,2,0.173970529,2010,4,1,,2,4,,0
201017071,4/14/10 0:00,35,3,48,-13,0.29,3921,10.1,3.38,3.01,90,10,1105.18,6,0.542897989,2010,4,1,,2,4,,0
201017072,4/14/10 0:00,37,1,48,-11,0.32,4493,10.2,4.06,3.46,95,10.4,1211.85,5,0.412592318,2010,4,1,,4,2,,0
201017073,4/14/10 0:00,37,1,48,-11,0.32,4493,10.2,4.06,3.41,100,11,1522.96,3,0.196984819,2010,4,1,,1,2,,0
201017074,4/15/10 0:00,35,3,51,-16,0.26,3736,10.6,3.34,2.78,92,10,1125.92,4,0.355265028,2010,4,1,,3,4,,0
201017075,4/15/10 0:00,35,3,51,-16,0.26,3899,10.7,3.42,2.82,97,10.6,1217.77,0,0,2010,4,0,,4,4,,0
201017076,4/15/10 0:00,38,1,51,-13,0.29,2986,10.7,2.66,2.18,118,12.9,1158.51,3,0.258953311,2010,4,1,,4,2,,0
201017077,4/15/10 0:00,39,1,51,-12,0.31,3072,10.7,2.74,2.25,116,12.7,1419.25,5,0.352298749,2010,4,1,,4,2,,0
201017078,4/16/10 0:00,39,1,56,-17,0.24,1091,11.7,0.95,0.74,100,10.8,1185.18,1,0.084375369,2010,4,1,,2,4,,0
201017079,4/16/10 0:00,38,3,56,-18,0.23,1804,11.4,1.58,1.26,99,10.9,1277.03,6,0.469840176,2010,4,1,,3,4,,0
201017080,4/16/10 0:00,39,3,56,-17,0.24,2178,11.4,1.91,1.54,100,10.8,1229.62,2,0.162651876,2010,4,1,,4,4,,0
201017081,4/16/10 0:00,39,3,56,-17,0.24,3045,11.6,2.67,2.19,105,11.2,1099.25,4,0.363884467,2010,4,1,,4,4,,0
201017082,4/19/10 0:00,36,1,48,-12,0.31,2265,11.9,1.94,1.55,103,10.6,1241.48,10,0.805490221,2010,4,1,,2,2,,0
201017083,4/19/10 0:00,36,1,48,-12,0.31,1479,12.3,1.26,1,93,10.1,1528.88,11,0.719480927,2010,4,1,,2,4,,0
201017084,4/20/10 0:00,38,3,48,-10,0.33,3317,11.7,2.97,2.36,105,11.1,1223.7,1,0.081719376,2010,4,1,,2,2,,0
201017085,4/20/10 0:00,37,3,48,-11,0.32,2936,11.8,2.56,2.09,95,10.1,1143.7,0,0,2010,4,0,,2,2,,0
201017086,4/20/10 0:00,35,3,48,-13,0.29,3708,11.7,3.23,2.68,96,10.3,1122.96,2,0.178100734,2010,4,1,,3,4,,0
201017087,4/21/10 0:00,38,1,48,-10,0.33,2567,12.2,2.21,1.81,91,9.7,1122.96,2,0.178100734,2010,4,1,,2,2,,0
201017088,4/21/10 0:00,36,1,48,-12,0.31,2058,12.4,1.76,1.41,96,10.1,1277.03,6,0.469840176,2010,4,1,,2,2,,0
201017089,4/22/10 0:00,36,1,50,-14,0.28,4233,12.3,3.63,3.05,94,9.6,1158.51,8,0.690542162,2010,4,1,,2,2,,0
201017090,4/22/10 0:00,35,1,50,-15,0.27,3970,12.4,3.39,2.83,91,9.6,1365.92,0,0,2010,4,0,,2,2,,0
201017091,4/22/10 0:00,36,3,50,-14,0.28,2763,12.5,2.34,1.9,88,9.4,1105.18,6,0.542897989,2010,4,1,,2,4,,0
201017092,4/23/10 0:00,39,3,48,-9,0.35,2760,13,2.34,1.92,98,10.1,1256.29,3,0.238798367,2010,4,1,,1,2,,0
201017093,4/23/10 0:00,40,3,48,-8,0.36,1697,13.2,1.42,1.13,91,9.4,1179.25,2,0.169599322,2010,4,1,,2,2,,0
