Population,Survey,Date,Easting,Northing,Latitude,Longitude,Vegetation,Bird Count
A,1,4/30/1981,503198,2830956,25 35.876,-80 58.079,Saw Grass+Sparina (cord grass),0
A,1,4/30/1981,504190,2830958,25 35.877,-80 57.486,Saw Grass+Pines,1
A,1,4/30/1981,505188,2830962,25 35.879,-80 56.890,Saw Grass+Eleochris (wet grass),1
A,1,4/30/1981,506194,2830964,25 35.880,-80 56.289,Mangrove,2
A,1,4/30/1981,507186,2830963,25 35.879,-80 55.696,Saw Grass+Mixed Prairie,0
A,1,4/30/1981,508183,2830964,25 35.879,-80 55.100,Saw Grass,0
A,1,4/30/1981,509191,2830964,25 35.879,-80 54.498,Muhly,0
A,1,4/30/1981,510188,2830969,25 35.881,-80 53.902,Saw Grass+Mixed Prairie,0
A,1,4/30/1981,511179,2830968,25 35.880,-80 53.310,Mixed Prairie,0
A,1,4/30/1981,512162,2830961,25 35.876,-80 52.723,Mixed Prairie,0
A,1,4/30/1981,503201,2829950,25 35.331,-80 58.077,Saw Grass+Mixed Prairie,0
A,1,4/30/1981,504194,2829954,25 35.333,-80 57.484,Saw Grass,1
A,1,4/30/1981,505193,2829958,25 35.335,-80 56.887,Mixed Prairie,2
A,1,4/30/1981,506196,2829960,25 35.336,-80 56.288,Muhly,2
A,1,4/30/1981,507192,2829961,25 35.336,-80 55.693,Mixed Prairie,0
A,1,4/30/1981,508191,2829960,25 35.335,-80 55.096,Saw Grass+Mixed Prairie,0
A,1,4/30/1981,509195,2829960,25 35.335,-80 54.496,Saw Grass,0
A,1,4/30/1981,510191,2829963,25 35.336,-80 53.901,Saw Grass+Eleochris (wet grass),0
A,1,4/30/1981,511180,2829964,25 35.336,-80 53.310,Saw Grass+Eleochris (wet grass),0
A,1,4/30/1981,512166,2829961,25 35.334,-80 52.721,Saw Grass,0
A,1,4/30/1981,503205,2828957,25 34.793,-80 58.075,Saw Grass+Eleochris (wet grass),0
A,1,4/30/1981,504199,2828961,25 34.795,-80 57.481,Saw Grass+Pines,0
A,1,4/30/1981,505199,2828965,25 34.797,-80 56.884,Saw Grass+Eleochris (wet grass),1
A,1,4/30/1981,506201,2828964,25 34.796,-80 56.285,Saw Grass+Mixed Prairie,2
A,1,4/30/1981,507195,2828968,25 34.798,-80 55.691,Saw Grass+Eleochris (wet grass),1
A,1,4/30/1981,508196,2828970,25 34.799,-80 55.093,Mixed Prairie+Hardwood Hammock,0
A,1,4/30/1981,509202,2828971,25 34.799,-80 54.492,Mangrove,0
A,1,4/30/1981,510195,2828972,25 34.799,-80 53.899,Saw Grass+Mixed Prairie,0
A,1,4/30/1981,511186,2828974,25 34.800,-80 53.307,Saw Grass+Mixed Prairie,0
A,1,4/30/1981,512170,2828968,25 34.796,-80 52.719,Saw Grass,0
A,1,4/30/1981,503210,2827957,25 34.251,-80 58.072,Mixed Prairie,0
A,1,4/30/1981,504203,2827957,25 34.251,-80 57.479,Saw Grass+Eleochris (wet grass),0
A,1,4/30/1981,505204,2827963,25 34.254,-80 56.881,Mixed Prairie,1
A,1,4/30/1981,506208,2827963,25 34.254,-80 56.281,Saw Grass+Eleochris (wet grass),1
A,1,4/30/1981,507203,2827964,25 34.254,-80 55.687,Saw Grass,0
A,1,4/30/1981,508202,2827963,25 34.253,-80 55.090,Saw Grass,0
A,1,4/30/1981,509206,2827967,25 34.255,-80 54.490,Mixed Prairie,0
A,1,4/30/1981,510202,2827970,25 34.256,-80 53.895,Saw Grass,0
A,1,4/30/1981,511190,2827967,25 34.254,-80 53.305,Mixed Prairie,0
A,1,4/30/1981,512174,2827964,25 34.252,-80 52.717,Mixed Prairie,0
A,1,4/30/1981,503214,2826962,25 33.712,-80 58.070,Saw Grass,0
A,1,4/30/1981,504207,2826962,25 33.712,-80 57.477,Saw Grass,0
A,1,4/30/1981,505211,2826964,25 33.713,-80 56.877,Mixed Prairie,1
A,1,4/30/1981,506216,2826967,25 33.714,-80 56.277,Pines,1
A,1,4/30/1981,507205,2826969,25 33.715,-80 55.686,Mixed Prairie,0
A,1,4/30/1981,508206,2826972,25 33.716,-80 55.088,Saw Grass+Hardwood Hammock,0
A,1,4/30/1981,509207,2826968,25 33.714,-80 54.490,Saw Grass,0
A,1,4/30/1981,510205,2826971,25 33.715,-80 53.894,Saw Grass+Eleochris (wet grass),0
A,1,4/30/1981,511191,2826976,25 33.717,-80 53.305,Saw Grass+Eleochris (wet grass),0
A,1,4/30/1981,512177,2826973,25 33.715,-80 52.716,Saw Grass+Eleochris (wet grass),0
A,1,4/30/1981,503216,2825964,25 33.171,-80 58.069,Mixed Prairie,1
A,1,4/30/1981,504210,2825966,25 33.172,-80 57.475,Saw Grass,1
A,1,4/30/1981,505213,2825968,25 33.173,-80 56.876,Saw Grass,2
A,1,4/30/1981,506218,2825970,25 33.174,-80 56.276,Saw Grass+Eleochris (wet grass),1
A,1,4/30/1981,507207,2825971,25 33.174,-80 55.685,Saw Grass,0
A,1,4/30/1981,508210,2825971,25 33.174,-80 55.086,Mixed Prairie+Hardwood Hammock,0
A,1,4/30/1981,509211,2825970,25 33.173,-80 54.488,Saw Grass+Eleochris (wet grass),0
A,1,4/30/1981,510207,2825973,25 33.174,-80 53.893,Saw Grass+Eleochris (wet grass),0
A,1,4/30/1981,511193,2825973,25 33.174,-80 53.304,Saw Grass+Eleochris (wet grass),0
A,1,4/30/1981,512178,2825972,25 33.173,-80 52.716,Saw Grass,0
A,1,4/30/1981,502216,2824959,25 32.627,-80 58.666,Mixed Prairie,0
A,1,4/30/1981,503218,2824961,25 32.628,-80 58.068,Mixed Prairie+Hardwood Hammock,1
A,1,4/30/1981,504211,2824963,25 32.629,-80 57.475,Saw Grass,1
A,1,4/30/1981,505219,2824968,25 32.631,-80 56.873,Saw Grass,1
A,1,4/30/1981,506218,2824968,25 32.631,-80 56.276,Saw Grass,2
A,1,4/30/1981,507209,2824968,25 32.631,-80 55.684,Saw Grass,1
A,1,4/30/1981,508212,2824969,25 32.631,-80 55.085,Saw Grass+Pines,0
A,1,4/30/1981,509212,2824972,25 32.632,-80 54.488,Saw Grass,0
A,1,4/30/1981,510208,2824970,25 32.631,-80 53.893,Saw Grass,0
A,1,4/30/1981,511191,2824975,25 32.633,-80 53.306,Saw Grass,0
A,1,4/30/1981,512177,2824970,25 32.630,-80 52.717,Saw Grass+Mixed Prairie,0
A,1,4/30/1981,502218,2823953,25 32.082,-80 58.665,Mixed Prairie+Hardwood Hammock,0
A,1,4/30/1981,503221,2823956,25 32.083,-80 58.066,Saw Grass,1
A,1,4/30/1981,504218,2823958,25 32.084,-80 57.471,Saw Grass+Mixed Prairie,1
A,1,4/30/1981,505222,2823960,25 32.085,-80 56.871,Saw Grass,1
A,1,4/30/1981,506222,2823960,25 32.085,-80 56.274,Saw Grass,0
A,1,4/30/1981,507213,2823963,25 32.086,-80 55.682,Saw Grass+Hardwood Hammock,1
A,1,4/30/1981,508216,2823961,25 32.085,-80 55.083,Mixed Prairie+Hardwood Hammock,2
A,1,4/30/1981,509218,2823964,25 32.086,-80 54.485,Saw Grass+Hardwood Hammock,2
A,1,4/30/1981,510212,2823965,25 32.086,-80 53.891,Saw Grass,1
A,1,4/30/1981,511193,2823965,25 32.086,-80 53.305,Saw Grass,0
A,1,4/30/1981,512190,2823970,25 32.088,-80 52.710,Saw Grass+Eleochris (wet grass),0
A,1,4/30/1981,502223,2822961,25 31.544,-80 58.662,Mixed Prairie,0
A,1,4/30/1981,503225,2822964,25 31.546,-80 58.064,Saw Grass,0
A,1,4/30/1981,504220,2822965,25 31.546,-80 57.470,Hardwood Hammock,0
A,1,4/30/1981,505229,2822969,25 31.548,-80 56.867,Saw Grass,0
A,1,4/30/1981,506224,2822973,25 31.550,-80 56.273,Saw Grass+Eleochris (wet grass),0
A,1,4/30/1981,507217,2822973,25 31.550,-80 55.680,Mixed Prairie+Hardwood Hammock,0
A,1,4/30/1981,508222,2822976,25 31.551,-80 55.080,Saw Grass+Eleochris (wet grass),2
A,1,4/30/1981,509220,2822976,25 31.551,-80 54.484,Hardwood Hammock,1
A,1,4/30/1981,510216,2822979,25 31.552,-80 53.889,Saw Grass+Eleochris (wet grass),0
A,1,4/30/1981,511198,2822978,25 31.551,-80 53.303,Saw Grass,0
A,1,4/30/1981,512192,2822983,25 31.553,-80 52.709,Mixed Prairie,0
A,1,4/30/1981,502227,2821966,25 31.005,-80 58.660,WI,0
A,1,4/30/1981,503227,2821970,25 31.007,-80 58.063,Saw Grass,0
A,1,4/30/1981,504223,2821974,25 31.009,-80 57.468,Saw Grass,0
A,1,4/30/1981,505233,2821978,25 31.011,-80 56.865,Saw Grass,0
A,1,4/30/1981,506230,2821982,25 31.013,-80 56.270,Saw Grass+Hardwood Hammock,0
A,1,4/30/1981,507219,2821986,25 31.015,-80 55.679,Mixed Prairie+Hardwood Hammock,0
A,1,4/30/1981,508226,2821990,25 31.017,-80 55.078,Muhly,2
A,1,4/30/1981,509227,2821993,25 31.018,-80 54.480,Saw Grass+Muhly,0
A,1,4/30/1981,510220,2821999,25 31.021,-80 53.887,Saw Grass+Eleochris (wet grass),0
A,1,4/30/1981,511198,2822002,25 31.022,-80 53.303,Saw Grass,0
A,1,4/30/1981,512197,2822008,25 31.025,-80 52.707,Mixed Prairie,0
A,1,4/30/1981,502232,2820975,25 30.468,-80 58.657,Muhly,0
A,1,4/30/1981,503232,2820979,25 30.470,-80 58.060,Muhly+Hardwood Hammock,0
A,1,4/30/1981,504225,2820981,25 30.471,-80 57.467,Muhly+Saw Grass,0
A,1,4/30/1981,505240,2820985,25 30.473,-80 56.861,Saw Grass,0
A,1,4/30/1981,506233,2820987,25 30.474,-80 56.268,Saw Grass,0
A,1,4/30/1981,507223,2820984,25 30.472,-80 55.677,Saw Grass+Pines,0
A,1,4/30/1981,508231,2820984,25 30.472,-80 55.075,Saw Grass+Mixed Prairie,0
A,1,4/30/1981,470594,2861683,25 52.507,-81 17.601,Sparina (cord grass),0
A,1,4/30/1981,471588,2861677,25 52.505,-81 17.006,Sparina (cord grass),0
A,1,4/30/1981,472589,2860810,25 52.036,-81 16.405,Sparina (cord grass),0
A,1,4/30/1981,472584,2859811,25 51.495,-81 16.407,Sparina (cord grass),0
A,1,4/30/1981,471539,2860037,25 51.616,-81 17.033,Sparina (cord grass),0
A,1,4/30/1981,475511,2857770,25 50.392,-81 14.652,Sparina (cord grass),0
A,1,4/30/1981,484490,2857776,25 50.403,-81 09.276,Mixed Prairie,0
A,1,4/30/1981,485477,2857775,25 50.403,-81 08.685,Mixed Prairie,0
A,1,4/30/1981,476510,2856780,25 49.857,-81 14.053,Sparina (cord grass)+Saw Grass,0
A,1,4/30/1981,477500,2855784,25 49.318,-81 13.459,Mixed Prairie,0
A,1,4/30/1981,478487,2855784,25 49.319,-81 12.868,Muhly,0
A,1,4/30/1981,479490,2855784,25 49.320,-81 12.268,Pines,0
A,1,4/30/1981,477502,2854785,25 48.777,-81 13.457,Saw Grass+Sparina (cord grass),0
A,1,4/30/1981,478491,2854787,25 48.779,-81 12.865,Muhly+Sparina (cord grass),0
A,1,4/30/1981,479493,2854789,25 48.781,-81 12.265,Sparina (cord grass)+Mixed Prairie,0
A,1,4/30/1981,478494,2853791,25 48.239,-81 12.862,Sparina (cord grass)+Pines,0
A,1,4/30/1981,482506,2848824,25 45.551,-81 10.457,Sparina (cord grass),0
A,1,4/30/1981,483505,2848824,25 45.552,-81 09.859,Sparina (cord grass)+Eleochris (wet grass),0
A,1,4/30/1981,495259,2833961,25 37.504,-81 02.823,Saw Grass,0
A,1,4/30/1981,496243,2833959,25 37.503,-81 02.235,Mixed Prairie,1
A,1,4/30/1981,497266,2833959,25 37.503,-81 01.624,Mixed Prairie+Hardwood Hammock,0
A,1,4/30/1981,498258,2833960,25 37.504,-81 01.031,Mixed Prairie+Hardwood Hammock,0
A,1,4/30/1981,499253,2833958,25 37.503,-81 00.436,Mixed Prairie,0
A,1,4/30/1981,495266,2832944,25 36.953,-81 02.819,Muhly,0
A,1,4/30/1981,496250,2832944,25 36.953,-81 02.231,Mixed Prairie,1
A,1,4/30/1981,497270,2832942,25 36.952,-81 01.621,Mixed Prairie+Cypress,0
A,1,4/30/1981,498258,2832941,25 36.952,-81 01.031,Mixed Prairie+Cypress,0
A,1,4/30/1981,499255,2832943,25 36.953,-81 00.435,Saw Grass,0
A,1,4/30/1981,497270,2831949,25 36.414,-81 01.621,Saw Grass+Eleochris (wet grass),0
A,1,4/30/1981,498259,2831947,25 36.413,-81 01.030,Mixed Prairie+Cypress,0
A,1,4/30/1981,499253,2831943,25 36.411,-81 00.436,Saw Grass+Muhly,0
A,1,4/30/1981,499257,2830952,25 35.874,-81 00.434,Saw Grass+Eleochris (wet grass),0
A,1,4/30/1981,507158,2847803,25 45.003,-80 55.707,Cypress,0
A,1,4/30/1981,508146,2847803,25 45.003,-80 55.116,Saw Grass+Cypress,0
A,1,4/30/1981,509149,2847804,25 45.003,-80 54.516,Muhly+Sparina (cord grass),0
A,1,4/30/1981,510152,2847803,25 45.002,-80 53.916,Saw Grass+Cypress,0
A,1,4/30/1981,511150,2847809,25 45.005,-80 53.319,Saw Grass+Eleochris (wet grass),0
A,1,4/30/1981,512149,2847808,25 45.004,-80 52.721,Saw Grass,0
A,1,4/30/1981,507159,2846811,25 44.466,-80 55.707,Saw Grass,0
A,1,4/30/1981,508147,2846810,25 44.465,-80 55.116,Cypress+Saw Grass,0
A,1,4/30/1981,509155,2846809,25 44.464,-80 54.513,Saw Grass+Cypress,0
A,1,4/30/1981,510153,2846812,25 44.465,-80 53.916,Cypress,0
A,1,4/30/1981,511152,2846812,25 44.465,-80 53.318,Cypress,0
A,1,4/30/1981,512157,2846813,25 44.465,-80 52.717,Hardwood Hammock,0
A,1,4/30/1981,507161,2845809,25 43.923,-80 55.706,Mixed Prairie+Cypress,0
A,1,4/30/1981,508151,2845810,25 43.923,-80 55.114,Saw Grass+Cypress,0
A,1,4/30/1981,509159,2845810,25 43.923,-80 54.511,Saw Grass+Cypress,0
A,1,4/30/1981,510157,2845811,25 43.923,-80 53.914,Saw Grass+Cypress,0
A,1,4/30/1981,511153,2845810,25 43.922,-80 53.318,Cypress,0
A,1,4/30/1981,512160,2845813,25 43.923,-80 52.716,Cypress+Saw Grass,0
A,1,4/30/1981,506165,2844823,25 43.389,-80 56.302,Saw Grass+Cypress,0
A,1,4/30/1981,507162,2844822,25 43.388,-80 55.706,Mixed Prairie+Cypress,0
A,1,4/30/1981,509160,2844821,25 43.387,-80 54.511,Muhly+Cypress,0
A,1,4/30/1981,510161,2844824,25 43.388,-80 53.912,Saw Grass+Cypress,1
A,1,4/30/1981,511154,2844823,25 43.387,-80 53.318,Mixed Prairie+Cypress,2
A,1,4/30/1981,512159,2844822,25 43.386,-80 52.717,Saw Grass+Sparina (cord grass),0
A,1,4/30/1981,506167,2843819,25 42.845,-80 56.301,Saw Grass+Eleochris (wet grass),0
A,1,4/30/1981,507164,2843818,25 42.844,-80 55.705,Saw Grass+Cypress,0
A,1,4/30/1981,508157,2843817,25 42.843,-80 55.111,Muhly+Cypress,0
A,1,4/30/1981,509162,2843815,25 42.842,-80 54.510,Saw Grass+Cypress,2
A,1,4/30/1981,510160,2843820,25 42.844,-80 53.913,Saw Grass,2
A,1,4/30/1981,511158,2843819,25 42.843,-80 53.316,Saw Grass,2
A,1,4/30/1981,512158,2843820,25 42.843,-80 52.718,Saw Grass,3
A,1,4/30/1981,507166,2842829,25 42.308,-80 55.704,Saw Grass,0
A,1,4/30/1981,508159,2842831,25 42.309,-80 55.110,Mixed Prairie+Cypress,0
A,1,4/30/1981,509163,2842832,25 42.309,-80 54.510,Muhly,0
A,1,4/30/1981,510164,2842834,25 42.310,-80 53.911,Saw Grass+Sparina (cord grass),0
A,1,4/30/1981,511157,2842833,25 42.309,-80 53.317,Saw Grass+Cypress,0
A,1,4/30/1981,512162,2842834,25 42.309,-80 52.716,Saw Grass+Hardwood Hammock,1
A,1,4/30/1981,504168,2841818,25 41.761,-80 57.497,Saw Grass+Eleochris (wet grass),0
A,1,4/30/1981,505165,2841822,25 41.763,-80 56.901,Saw Grass,0
A,1,4/30/1981,506168,2841822,25 41.763,-80 56.301,Cypress,0
A,1,4/30/1981,507167,2841821,25 41.762,-80 55.704,Saw Grass,0
A,1,4/30/1981,508163,2841821,25 41.762,-80 55.108,Saw Grass,0
A,1,4/30/1981,509165,2841822,25 41.762,-80 54.509,Hardwood Hammock,0
A,1,4/30/1981,510163,2841825,25 41.763,-80 53.912,Mixed Prairie+Cypress,0
A,1,4/30/1981,511162,2841825,25 41.763,-80 53.315,Cypress+Hardwood Hammock,1
A,1,4/30/1981,512163,2841824,25 41.762,-80 52.716,Mixed Prairie+Saw Grass,1
A,1,4/30/1981,504170,2840838,25 41.230,-80 57.496,Saw Grass+Mixed Prairie,0
A,1,4/30/1981,505170,2840842,25 41.232,-80 56.898,Muhly+Cypress,0
A,1,4/30/1981,506172,2840842,25 41.232,-80 56.299,Cypress,0
A,1,4/30/1981,507169,2840843,25 41.232,-80 55.703,Mixed Prairie+Cypress,0
A,1,4/30/1981,508164,2840841,25 41.231,-80 55.108,Muhly+Cypress,0
A,1,4/30/1981,509167,2840842,25 41.231,-80 54.508,Muhly+Cypress,0
A,1,4/30/1981,510169,2840843,25 41.231,-80 53.909,Pines,0
A,1,4/30/1981,511164,2840845,25 41.232,-80 53.314,Mixed Prairie,0
A,1,4/30/1981,512169,2840846,25 41.232,-80 52.713,Saw Grass+Cypress,0
A,1,4/30/1981,504174,2839835,25 40.687,-80 57.494,Muhly+Cypress,0
A,1,4/30/1981,505174,2839838,25 40.688,-80 56.896,Cypress+Mixed Prairie,0
A,1,4/30/1981,506174,2839838,25 40.688,-80 56.298,Mixed Prairie+Cypress,0
A,1,4/30/1981,507171,2839842,25 40.690,-80 55.702,Saw Grass+Mixed Prairie,1
A,1,4/30/1981,508168,2839841,25 40.689,-80 55.106,Saw Grass+Mixed Prairie,2
A,1,4/30/1981,509171,2839845,25 40.691,-80 54.506,Saw Grass+Cypress,2
A,1,4/30/1981,510172,2839848,25 40.692,-80 53.908,Saw Grass+Mixed Prairie,1
A,1,4/30/1981,511165,2839852,25 40.694,-80 53.314,Mixed Prairie,0
A,1,4/30/1981,512168,2839851,25 40.693,-80 52.714,Saw Grass+Muhly,0
A,1,4/30/1981,503183,2838829,25 40.142,-80 58.087,Mixed Prairie,0
A,1,4/30/1981,504179,2838831,25 40.143,-80 57.491,Muhly+Cypress,0
A,1,4/30/1981,505178,2838834,25 40.144,-80 56.894,Mixed Prairie+Cypress,0
A,1,4/30/1981,506180,2838836,25 40.145,-80 56.295,Saw Grass+Cypress,1
A,1,4/30/1981,507175,2838836,25 40.145,-80 55.700,Mixed Prairie,1
A,1,4/30/1981,508175,2838835,25 40.144,-80 55.102,Saw Grass,2
A,1,4/30/1981,509175,2838839,25 40.146,-80 54.504,Saw Grass+Mixed Prairie,2
