,City,SUID,STAID,Reach,CollectionDate,SampleID,SMCOD,Tot.Abund,pPA.abund,pPR.abund,pOM.abund,pGC.abund,pFC.abund,pSC.abund,pSH.abund,pPI.abund,Intol.abundp,ModTol.abundp,Tol.abundp,RICH,PA.rich,PR.rich,OM.rich,GC.rich,FC.rich,SC.rich,SH.rich,PI.rich,Intol.rich,Modtol.rich,Tol.rich,OtherTol,MANUII,NUII,DA,NLCD1,NLCD2,NLCD3,NLCD4,NLCD5,NLCD7,NLCD8,NLCD9,NLCD.IS,NOAA.IS
11,ATL,ACFB,2335870,A,4/29/03,107664,ACFB0403IRM0006,193.32,0.62,1.72,14.48,40.06,5.79,26.72,10.61,0,0,59.36,40.64,34,1,5,4,14,7,2,1,0,0,19,9,6,84.57224551,49.17109452,79.53688046,0.563437648,72.51035232,0.310003847,22.9911977,0.325843459,0.497816396,2.03539022,0.76595841,19.5753,27.13
12,ATL,ACFB,2335910,A,4/28/03,107697,ACFB0403IRM0003,284.72,2.4,2.58,59.06,23.35,2.13,6.34,4.14,0,0,28.32,71.68,23,1,3,3,8,4,2,2,0,0,13,5,5,100,59.08522785,48.0965519,0.267554774,85.41358729,0.091679608,11.28033379,0.245102625,0.699758639,1.371452093,0.63053118,38.2279,38.02
13,ATL,ACFB,2336635,A,5/1/03,107317,ACFB0503IRM0333,2311.56,0,2.86,10.71,25.06,25.72,11.24,24.41,0,0.71,85.01,14.28,39,0,6,3,18,5,4,3,0,1,23,8,7,79.31561703,46.45279346,80.68697931,0.597827299,66.17033617,1.083004305,27.34167615,0.45729327,0.975930759,2.493921346,0.880010707,18.1418,24.44
14,ATL,ACFB,2336728,A,4/29/03,107586,ACFB0403IRM0011,1135.15,1.27,0.96,42.22,12.42,16.82,1.3,25.02,0,0.33,49,50.67,32,1,2,3,14,5,2,5,0,1,17,10,4,74.27705995,43.88994808,90.05552994,0.532712335,60.55829852,0.180902313,35.04707458,0.805564995,0.942491055,1.364263298,0.568692906,16.8749,30.29
15,ATL,ACFB,2336822,A,4/30/03,107293,ACFB0403IRM0312,974.1,0,9.32,6.68,13.27,47.88,3.86,18.98,0,0.51,93.79,5.7,34,0,5,5,12,7,2,3,0,1,22,6,5,25.60569057,15.99824117,100.7202993,1.236586521,22.06377713,0.940842201,44.82090046,3.807149686,3.818765022,18.96605641,4.34592257,4.61057,6.77
16,ATL,ACFB,2336876,A,4/30/03,107298,ACFB0403IRM0316,3003.61,0.6,2.34,4.35,14.79,40.18,11.84,25.9,0,0.64,93.06,6.3,39,1,7,4,17,6,2,2,0,2,22,8,7,36.67934041,22.18769432,66.13579386,0.666693879,35.56063513,1.353796754,39.58801039,2.023211832,3.089922038,15.16252364,2.555206335,8.9042,11.11
17,ATL,ACFB,2336968,A,4/30/03,107280,ACFB0403IRM0321,427.05,0.74,3.72,12.23,7.06,25.87,17.46,32.91,0,0.79,90.61,8.6,33,1,4,4,11,6,4,3,0,1,20,7,5,48.09535731,28.744403,114.7863852,0.899332753,43.08486032,0.508079881,40.778899,1.043602349,1.659884428,9.725652545,2.299688723,9.53476,15.51
18,ATL,ACFB,2337395,A,5/2/03,107658,ACFB0503IRM0031,204.5,0,20.93,7.32,21.86,22.31,9.55,18.02,0,2.32,84.41,13.27,52,0,14,4,21,6,3,4,0,3,29,9,11,15.44713794,10.41157285,109.0801909,1.708618997,13.44702126,1.065927448,58.03694445,4.136656519,4.706746199,15.59785164,1.300233481,2.44127,4.83
19,ATL,ACFB,2338280,A,5/2/03,107703,ACFB0503IRM0029,408.87,0,7.7,7.58,24.14,37.5,7.48,15.59,0,5.19,91.83,2.99,45,0,6,6,16,7,6,4,0,5,31,3,6,8.834061807,6.866117123,68.66355134,0.691978035,7.284117269,0.345989017,59.1785382,5.099406314,4.690510203,21.70294746,1.006513505,1.52927,1.98
20,ATL,ACFB,2338375,A,5/1/03,107668,ACFB0503IRM0026,953.45,1.24,10.86,10.36,27.93,25.54,10.91,13.16,0,11.53,84.62,3.85,52,1,7,6,19,8,7,4,0,9,35,4,4,5.034654234,4.738604112,82.69345731,0.201360544,4.772789116,0.618231293,55.33061224,4.642176871,5.214693878,28.22748299,0.992653061,0.801241,0.16
21,ATL,ACFB,2338523,B,5/1/03,107679,ACFB0503IRM0023,709.87,0,6.66,18.28,28.27,14.96,17.25,14.58,0,2.71,87.11,10.18,59,0,9,4,21,11,8,6,0,8,35,7,9,1.036951082,2.6476524,43.22186678,0.12287059,2.81352826,1.845141405,70.43816902,4.32962639,8.696738723,11.27077346,0.483152151,0.376296,0
22,ATL,ACFB,2339480,A,5/5/03,107614,ACFB0503IRM0337,301.76,0,5.87,2.61,60.08,9.31,12.18,9.95,0,8.35,33.37,58.28,35,0,4,3,9,7,3,9,0,5,21,5,4,4.669732987,4.562235858,77.06882293,0.393576642,5.912992701,0.858394161,68.11094891,2.973430657,8.428613139,10.44671533,2.875328467,1.00747,1.87
23,ATL,ACFB,2340282,A,4/29/03,107258,ACFB0403IRM0306,1027.15,0,22.25,7.82,15.13,19.55,5.82,29.43,0,8.27,87.21,4.52,39,0,8,4,13,6,2,6,0,5,24,4,6,3.31518933,3.854244032,77.71550228,0.881327666,4.94053065,0.604537506,61.99173104,3.25083674,5.885554796,18.7036029,3.741878699,0.704321,0.61
24,ATL,ACFB,2344340,A,5/1/03,107648,ACFB0503IRM0325,917.37,0,2.86,26.88,16.52,39.12,4.54,10.09,0,0.45,91.86,7.7,36,0,4,6,15,6,3,2,0,1,25,6,4,37.87916735,23.05608916,101.5813984,1.088015877,38.34812964,1.482288732,39.70283345,1.793276983,2.64915918,9.209150674,5.727145465,11.954,13.75
25,ATL,ACFB,2344480,A,5/2/03,107610,ACFB0503IRM0212,603.64,0,2.01,27.28,22.62,33.78,0.04,14.27,0,0,72.63,27.37,30,0,4,5,12,5,1,3,0,0,18,8,4,24.5298225,15.49433545,53.4000366,1.274078568,22.9064496,0.62524226,46.62857913,2.800950503,4.337934173,17.66857104,3.758194718,6.43799,10.15
26,ATL,ACFB,2344737,A,5/1/03,107302,ACFB0503IRM0329,7264.04,0.64,1.06,2.81,20.95,40.6,1.2,32.74,0,0,94.61,5.39,24,1,2,2,11,5,2,1,0,0,15,6,3,25.25796337,15.87169666,110.4959895,1.7994021,25.08491972,1.198243771,45.62123767,2.202618053,2.868128019,15.44928032,5.776170344,6.28797,8.75
27,ATL,ACFB,2344797,A,4/29/03,107182,ACFB0403IRM0308,3104.32,0.34,6.01,5.2,19.27,44.14,7.22,17.83,0,0,93.01,6.99,32,1,2,4,13,6,3,3,0,0,22,7,3,23.1806426,14.76041128,112.6830873,1.843376862,25.72740705,0.718821133,48.59470468,2.169242442,3.550976399,12.29663352,5.098837906,6.83151,6.57
28,ATL,ACFB,2344887,A,5/1/03,107595,ACFB0503IRM0210,637.53,0.29,5.05,15.81,15.66,35.74,2.18,25.28,0,1.67,87.52,10.81,48,1,8,7,17,8,2,5,0,4,31,6,7,4.088184148,4.256647224,109.028391,0.302099842,4.455559958,0.460578447,66.90355917,2.637183043,7.698593502,12.09389857,5.44852747,0.838129,0.17
29,ATL,ACFB,2346358,A,5/2/03,107599,ACFB0503IRM0214,603.32,0.58,6.29,12.7,17.37,36.35,2,24.71,0,0.32,90.35,9.34,43,1,7,6,18,7,2,2,0,1,26,9,7,12.81380862,8.952092021,48.21237179,1.864988986,10.95844379,0.806481723,45.66329388,3.190456633,4.383377516,28.85412388,4.278833588,2.81216,3.63
30,ATL,ACFB,2347748,A,5/1/03,107654,ACFB0503IRM0020,1553.34,0,18.1,2.07,5.8,71.24,0.89,1.89,0,1.23,96.81,1.97,29,0,4,4,9,6,3,3,0,2,19,3,5,0,2.094073107,111.957488,0.423619819,2.327095592,0.465419118,70.61187743,3.483006977,6.638854056,11.15960902,4.89051799,0.276205,0
31,RAL,ALBE,2081190,A,5/16/03,108319,ALBE0503IRM0002,3244,0,5.06,5.01,16.22,57.84,2.18,13.69,0,5.22,80.18,14.6,34,0,5,3,11,6,6,2,0,7,12,8,7,0,2.328991786,66.2522,0.234558249,3.010164191,0.430023456,58.13135262,5.16028147,7.896794371,22.08756841,3.010164191,0.3509482,0.12
32,RAL,ALBE,2081510,A,5/20/03,108383,ALBE0503IRM0006,1400.8,0,1.77,26.63,17.33,45.05,0.51,8.71,0,0.52,79.65,19.82,24,0,4,2,12,4,1,1,0,1,11,9,3,38.81783063,27.19079384,12.5615,0.410677618,52.97741273,0,26.89938398,2.05338809,4.106776181,13.14168378,0.205338809,13.80733,21.3
33,RAL,ALBE,208500600,A,5/19/03,108316,ALBE0503IRM0011,1111.2,0.29,7.86,8.08,9.49,51.5,1.15,21.63,0,13.75,72.22,14.03,36,1,11,2,9,9,3,1,0,5,19,8,4,14.99940927,12.0332019,10.878,0.476190476,20,0,60.47619048,4.285714286,4.047619048,10.71428571,0.238095238,4.514986,8.81
34,RAL,ALBE,208501535,A,5/19/03,108299,ALBE0503IRM0004,1200,0,8.75,11.63,22.15,27.91,16.85,12.71,0,21.36,59.68,18.96,48,0,5,3,19,11,7,3,0,8,20,15,5,9.116254477,8.224968938,23.1546,0.223713647,12.41610738,0.111856823,52.79642058,3.803131991,4.474272931,26.06263982,0.223713647,1.704698,7.37
35,RAL,ALBE,2085430,A,5/16/03,108288,ALBE0503IRM0003,1485.6,0,5.28,1.59,17.26,31.78,11.79,32.3,0,15.58,80.35,4.07,30,0,7,2,10,6,2,3,0,4,16,5,5,2.55003302,4.011417274,82.4915,0.439422473,4.362837414,0.188323917,60.26365348,4.268675455,5.147520402,23.9485248,1.349654739,0.4892784,2.32
36,RAL,ALBE,208725055,A,5/12/03,108238,ALBE0503IRM0020,3483.2,0.8,0.57,8.65,22.07,50.13,0.32,17.47,0,0.34,81.88,17.78,28,1,2,2,15,5,1,2,0,1,13,8,6,77.53748835,53.5436899,8.9873,0,78.96253602,0,16.42651297,0.288184438,1.44092219,2.593659942,0,16.24329,26.1
37,RAL,ALBE,208726370,A,5/12/03,108159,ALBE0503IRM0014,3109.6,0.33,1.34,9.82,25.09,21.18,0.34,41.9,0,0,80.88,19.12,26,1,3,3,12,4,2,1,0,1,14,7,4,34.38532943,23.89826796,11.2406,0,60.13824885,0,26.26728111,0.460829493,1.843317972,11.05990783,0.230414747,20.52499,22.29
38,RAL,ALBE,208726995,A,5/12/03,108172,ALBE0503IRM0022,2718.4,1.12,0.6,7.2,14.27,48.74,0.59,27.49,0,1.41,81.9,16.69,32,1,2,1,15,7,3,3,0,2,13,13,4,73.17732771,50.61690825,16.0062,1.615508885,76.0904685,0,19.7092084,0.323101777,0.646203554,0.969305331,0.646203554,12.7011,25.76
39,RAL,ALBE,208730725,A,5/12/03,108232,ALBE0503IRM0025,3666.4,0,3.89,7.07,19.77,28.51,0.92,39.84,0,0,85.11,14.89,25,0,2,2,12,6,2,1,0,0,13,9,3,88.00021717,60.03548012,7.9772,0,94.15584416,0,5.194805195,0,0,0.324675325,0,11.52672,41.26
40,RAL,ALBE,208732610,A,5/13/03,108221,ALBE0503IRM0030,1917.6,0,2.04,17.56,58.29,5.42,0.33,16.35,0,0,44.26,55.74,20,0,2,2,10,4,1,1,0,0,12,6,2,100,68.2868911,11.3701,0,98.40909091,0,1.136363636,0,0,0.454545455,0,30.50494,55.59
41,RAL,ALBE,2087580,C,5/13/03,108311,ALBE0503IRM0018,7135.2,0.56,3.48,10.06,4.93,65.61,0,15.35,0,0,93.68,6.32,23,1,3,4,8,6,0,1,0,0,13,7,3,55.36308818,38.12212291,54.2605,1.574427481,72.1851145,0.095419847,20.51526718,0.572519084,1.335877863,3.148854962,0.667938931,14.49161,21.72
42,RAL,ALBE,208758440,A,5/13/03,108215,ALBE0503IRM0013,9638.4,0.01,1.15,14.05,2.34,42.56,6.42,33.47,0,6.36,87.55,6.09,25,1,3,2,7,5,5,2,0,4,12,6,3,30.74182647,22.2098767,11.7327,0.662251656,39.29359823,0,45.25386313,1.103752759,3.090507726,8.388520971,2.428256071,6.017169,12.26
43,RAL,ALBE,208794025,A,5/14/03,108386,ALBE0503IRM0010,5059.2,0,1.88,5.61,3.12,76.87,0.05,12.48,0,0.31,96.46,3.24,27,0,4,4,7,8,1,3,0,1,18,5,3,14.32573428,11.68153879,5.5426,0,18.22429907,0,51.86915888,1.401869159,4.205607477,22.42990654,1.869158879,3.74663,9.76
44,RAL,ALBE,209517912,A,5/14/03,108161,ALBE0503IRM0026,4529.6,2.37,0.61,8.62,58.27,18.7,7.42,4.02,0,0,74.14,25.86,25,1,2,3,11,5,2,1,0,0,12,9,4,83.34956935,56.70585931,12.5874,0.411522634,96.91358025,0,2.469135802,0,0,0.205761317,0,28.25243,48.84
45,RAL,ALBE,209647280,A,5/19/03,108070,ALBE0503IRM0029,4007.2,0.28,6.11,17.17,6.07,59.83,5.22,5.32,0,0.99,94.96,4.05,32,1,7,3,9,8,3,1,0,1,18,7,6,48.65361048,33.67136138,12.7428,0.203252033,65.6504065,0,17.07317073,3.658536585,2.845528455,10.56910569,0.203252033,16.47744,35.26
46,RAL,ALBE,209647295,A,5/19/03,108098,ALBE0503IRM0021,1787.2,3.45,1.67,12.87,22.35,50.35,1.61,7.71,0,0.05,81.18,18.77,28,1,3,2,12,6,2,2,0,1,13,8,6,85.58371482,58.09717944,6.5009,0,96.812749,0,2.390438247,0,0.398406375,0.796812749,0,42.46524,52.9
47,RAL,ALBE,209651815,A,5/20/03,108108,ALBE0503IRM0027,6418.4,0.95,1.07,14.82,23.53,53.68,1.58,4.36,0,0.01,93.28,6.7,26,1,3,3,8,7,3,1,0,1,15,5,5,71.62290712,48.45816469,4.921,0,92.63157895,0,3.157894737,0.526315789,1.052631579,2.631578947,0,32.03849,44.05
48,RAL,ALBE,209665940,A,5/15/03,108313,ALBE0503IRM0007,6183.2,0.26,1.6,4.77,7.97,59.89,4.44,21.07,0,6.04,88.98,4.98,39,1,4,3,12,10,5,4,0,5,22,6,6,12.31732186,10.11983032,11.655,0.666666667,20.66666667,0,44.44444444,2.888888889,3.777777778,27.11111111,0.222222222,3.518827,8.85
49,RAL,ALBE,209665990,A,5/15/03,108206,ALBE0503IRM0001,7948,0.58,4.14,7.83,8.94,53.68,2.63,22.21,0,6.66,85.88,7.46,39,1,9,3,13,7,4,2,0,7,18,7,7,4.703119869,5.397745201,25.9777,1.49551346,7.278165503,0.199401795,45.16450648,4.386839482,4.287138584,37.0887338,0.099700897,1.118742,4.7
50,RAL,ALBE,209679804,A,5/20/03,108088,ALBE0503IRM0024,6140.8,0.26,0.79,5.13,4.23,80.23,1.34,8.03,0,0.01,97.22,2.76,22,1,3,2,8,4,3,1,0,1,12,6,3,64.07519257,43.73165506,37.3478,0.069300069,82.12058212,0,10.3950104,0.762300762,2.148302148,4.296604297,0.069300069,27.7402,35.05
51,RAL,ALBE,209695780,A,5/14/03,108247,ALBE0503IRM0008,5644,0,10.62,17.44,29.09,19.48,4.81,18.57,0,4.81,81.66,13.53,38,0,6,2,12,8,8,2,0,6,21,6,5,2.401591991,3.957466165,23.8798,0.216684724,3.141928494,0.216684724,75.8396533,5.308775731,6.500541712,8.559046587,0.216684724,0.2759335,1.69
52,RAL,ALBE,209697900,A,5/14/03,108262,ALBE0503IRM0009,1348.8,1.13,4.99,2.91,15.26,61.04,0.95,13.72,0,5.34,92.01,2.66,32,1,6,3,9,10,2,1,0,6,15,2,9,5.969803022,6.297844852,29.785,0.434782609,6,0.086956522,72.7826087,2.956521739,3.47826087,13.39130435,0.782608696,0.5986953,3.04
53,RAL,ALBE,2097355,A,5/15/03,108389,ALBE0503IRM0017,2532.8,0,1.04,0.76,8.65,72.7,0.06,16.78,0,0.06,94.66,5.28,23,0,4,3,9,4,2,1,0,2,12,6,3,41.18783328,29.39323672,29.8109,0.434782609,44.34782609,0.086956522,45.82608696,1.304347826,2.52173913,5.043478261,0.434782609,9.030488,18.96
54,RAL,ALBE,2097464,A,5/15/03,108306,ALBE0503IRM0005,908,0,16.23,9.37,29.33,15.96,10.13,18.96,0,11.88,76.64,11.48,55,0,14,2,18,9,8,4,0,8,27,16,4,6.207293763,6.473220728,21.4452,0.483091787,5.193236715,0.241545894,68.47826087,2.29468599,3.743961353,19.3236715,0.362318841,0.4261931,3.76
55,RAL,ALBE,209750881,A,5/15/03,108227,ALBE0503IRM0012,2051.2,0.66,2.61,2.47,9.01,67.88,0,17.35,0,0.37,95.64,3.99,21,1,3,1,11,4,0,1,0,2,11,4,4,24.35590486,18.46947032,9.1686,0,23.72881356,0,61.86440678,1.694915254,2.824858757,9.604519774,0,6.676621,11.69
56,RAL,ALBE,2099238,A,5/15/03,108199,ALBE0503IRM0016,16996,1.9,1.99,12.49,7.13,44.63,0.01,31.85,0,0.01,90.66,9.32,31,1,8,2,9,7,2,2,0,2,15,6,8,47.63922041,33.09308015,17.9487,0.432900433,66.81096681,0,24.24242424,1.154401154,1.154401154,6.204906205,0.144300144,19.01651,19.04
57,RAL,ALBE,2099480,A,5/16/03,108304,ALBE0503IRM0023,6599.2,0.3,2.79,11.55,23.27,60.21,0.63,1.24,0,0.37,95.96,3.67,26,1,5,3,5,6,3,3,0,1,18,2,5,56.85154485,38.88989256,32.6858,0.079239303,76.3866878,0.079239303,15.05546751,1.584786054,1.18858954,5.467511886,0.158478605,31.35561,38.07
58,RAL,ALBE,2100295,A,5/13/03,108194,ALBE0503IRM0019,6754.4,0.34,2.06,0.69,12.21,75.09,8.2,1.42,0,0,89.32,10.68,26,1,3,1,11,5,3,2,0,0,11,13,2,41.64167422,29.09538441,30.4325,0.170212766,55.91489362,0,32.93617021,2.468085106,1.276595745,6.808510638,0.425531915,15.92734,26.27
59,RAL,ALBE,2100634,A,5/13/03,108110,ALBE0503IRM0015,8320,0.33,5.26,7.45,17.52,40.68,13.92,14.85,0,6.52,82.78,10.71,42,1,10,4,12,7,6,2,0,3,24,10,5,29.02053559,21.00999464,16.4465,0.156985871,38.7755102,0.156985871,45.99686028,2.040816327,1.569858713,11.14599686,0.156985871,11.28853,21.75
60,RAL,ALBE,211583580,A,5/14/03,108113,ALBE0503IRM0028,1956.8,0.78,5.39,2.49,83.16,2.98,0,5.2,0,0,15.36,84.64,20,1,3,1,9,4,0,2,0,0,6,10,4,82.20597064,55.81926823,5.0246,0,96.90721649,0,1.546391753,0,0.515463918,1.030927835,0,36.52467,54.11
61,SLC,GRSL,10167800,A,7/24/00,23581,GRSL0700IRM0223,19540,0,5.85,28.25,29.79,15.32,20.43,0.35,0,0,44.31,55.69,27,0,6,2,8,4,5,2,0,0,13,13,1,71.89118666,69.99306582,9.87,0.1734685,90.833569,0,1.8898936,5.249703,0,0.8856021,0.9677714,34.57783,44.73131
62,SLC,GRSL,4.01E+14,A,8/1/00,23554,GRSL0800IRM0230,15658.4,0.26,4.91,4.66,48.56,19.5,16.69,5.43,0,20.16,77.43,2.41,37,1,6,3,11,7,4,5,0,12,18,6,1,25.4273266,24.18330197,9.64,0.06527415,33.4110381,0,11.022006,15.65647,4.401343,28.254383,7.189482,9.120011,7.721839
63,SLC,GRSL,4.01E+14,A,8/1/00,23552,GRSL0800IRM0231,28512,2.31,10.9,3.42,47.86,1.69,33.49,0.34,0,0.73,78.05,21.22,29,1,6,2,10,3,5,2,0,2,18,8,1,30.90583904,29.59354766,10.63,0.0591816,39.626308,0,9.993236,14.19513,3.990531,25.617183,6.518431,11.76108,10.31324
64,SLC,GRSL,4.01E+14,A,8/2/00,23544,GRSL0800IRM0228,95422.4,0.39,29.99,0,18.37,9.25,41.8,0.2,0,1.32,89.8,8.88,25,1,6,0,9,4,4,1,0,3,14,7,1,56.10857998,54.39406071,24.21,0,72.257535,0.01858667,5.8919737,14.34891,0.7025761,3.6244007,3.156017,30.35396,36.86785
65,SLC,GRSL,4.02E+14,A,8/2/00,23549,GRSL0800IRM0227,53655.2,0,3.61,1.22,52.79,12.1,28.55,1.73,0,11.76,78.96,9.28,42,0,11,2,13,4,7,5,0,15,14,12,1,31.45383,30.03927106,7.77,0,43.25798,0.05797102,16.6724599,28.67246,0.7768116,6.0869567,4.475362,16.47397,21.33264
66,SLC,GRSL,4.02E+14,A,8/3/00,23546,GRSL0800IRM0226,43465.6,0.65,1.96,1.03,64.87,26.95,4.22,0.33,0,6.69,72.48,20.83,36,1,6,1,17,5,3,3,0,12,17,6,1,16.43953952,15.44227945,3.71,0,20.5439563,0,34.288494,43.29772,0,0.3399709,1.529869,4.604177,8.940505
67,SLC,GRSL,4.04E+14,A,7/28/00,23562,GRSL0700IRM0232,11176,0,17.6,4.99,40.2,13.85,19.29,4.07,0,34.25,54.22,11.53,40,0,7,2,17,4,7,3,0,15,16,8,1,18.43687518,16.17361217,0.5,0,48.148152,0,22.222222,29.62963,0,0,0,12.44444,4.666667
68,SLC,GRSL,4.04E+14,A,7/18/00,23575,GRSL0700IRM0224,33592,0,5.07,37.11,31.81,5.6,20.41,0,0,0.32,48.23,51.46,27,0,7,2,13,2,3,0,0,1,13,12,1,75.73761881,74.10108913,13.64,0.125396,93.373816,0,1.3661564,3.794878,0,0.6401795,0.6995776,37.27191,46.84821
69,SLC,GRSL,4.04E+14,A,7/17/00,23577,GRSL0700IRM0225,12252,0.29,17.36,3.95,41.12,22,15.28,0,0,0.35,50.82,48.83,23,1,5,1,11,3,2,0,0,1,12,8,2,86.78076278,85.34035506,28.91,0.05920848,96.843248,0,0.6450608,1.791835,0.02804612,0.3022749,0.330321,42.2057,49.84176
70,SLC,GRSL,4.04E+14,A,7/21/00,23567,GRSL0700IRM0221,28224,1.67,27.67,5.33,41.79,4.33,19.21,0,0,0,67.08,32.92,22,1,4,2,11,1,2,1,0,0,11,9,2,67.4892483,65.29099755,14.62,0,85.289041,0,4.07370984,9.601873,0.2588438,0.09244423,0.6840873,34.14267,38.35967
71,SLC,GRSL,4.04E+14,A,7/24/00,23565,GRSL0700IRM0222,13351.2,0.9,19.94,3.93,24.14,45.94,4.53,0.62,0,0,84.97,15.03,23,1,6,1,11,2,1,1,0,0,12,9,2,79.01494255,77.33029665,26.66,0,91.938534,0,2.23235371,5.261736,0.141844,0.05065856,0.3748733,37.0825,43.00716
72,SLC,GRSL,4.04E+14,A,7/25/00,23571,GRSL0700IRM0217,2621.6,0,6.13,27.51,57.06,3.27,1.31,4.72,0,19.07,41.76,39.17,24,0,3,2,13,2,3,1,0,4,10,9,1,65.37395584,64.22440298,1.51,0,67.716996,0,4.637336,8.561236,0,5.350773,13.73365,31.8365,45.74911
73,SLC,GRSL,4.04E+14,A,7/25/00,23573,GRSL0700IRM0218,5806.4,0,5.88,3.73,69.21,14.5,1.86,4.81,0,7.85,64.3,27.86,32,0,4,1,15,5,4,3,0,5,16,10,1,68.22758748,67.53791803,2,0,65.264094,0,3.491495,6.445837,0,5.19248,19.60609,29.39884,46.62892
74,SLC,GRSL,4.04E+14,A,7/18/00,23569,GRSL0700IRM0219,11225.6,0.58,13.81,4.66,39.26,37.07,4.33,0.29,0,0,68.55,31.45,24,1,5,2,10,2,3,1,0,0,14,9,1,100,100,25.21,0,96.911811,0,0.2963228,0.5783648,0,0.4712602,1.742235,42.98283,53.58294
75,SLC,GRSL,4.04E+14,A,7/17/00,23583,GRSL0700IRM0216,11202.4,0,4.21,38.37,53.47,2.24,1.13,0.58,0,2.8,47.62,49.58,27,0,5,3,11,4,2,2,0,1,15,11,0,52.59406378,51.04873559,4.69,0,65.464314,0,8.7106683,17.76669,2.513431,0.9017652,4.643131,24.86473,33.16232
