"Samples per site","STAID","Station Name","YEAR","DRN SQKM","Basin classification","Level III Ecoregion","5 Diatom Eco Groups","Algae Sites 1152 designations ENS CLASS","AG: nitrogen from fertilizer and manure, 2002, kg/sq km","AG: phosphorus from fertilizer and manure, 2002,   kg/sq km","MRB3 TN Classification"
120,5288705,"SHINGLE CREEK AT QUEEN AVE IN MINNEAPOLIS, MN",1996,73.0,"Wadable",51,3,"URBAN",0,0,1
28,5085900,"SNAKE RIVER ABOVE ALVARADO, MN",1993,564.6,"Wadable",48,2,,,,
6,5085900,"SNAKE RIVER AT ALVARADO, MN",1993,800.3,"Wadable",48,2,,,,
107,5451210,"SOUTH FORK IOWA RIVER NE OF NEW PROVIDENCE, IA",1996,580.5,"Wadable",47,2,"Reference",2,2,2
88,4178000,"ST JOSEPH RIVER NEAR NEWVILLE IN",1996,1600.2,"Wadable",55,2,"Reference",1,1,1
30,395355084173600,"STILLWATER R. ON MARTINDALE R. NR..UNION, OH",1999,1673.1,"Wadable",55,2,,,,1
289,394340085524601,"SUGAR CREEK AT CO RD 400 S AT NEW PALESTINE, IN",1992,246.24,"Wadable",55,2,"AG",1,1,1
75,5525500,"SUGAR CREEK AT MILFORD, IL",1999,1158.8,"Wadable",54,2,"AG",2,2,2
32,4080798,"TOMORROW RIVER NEAR NELSONVILLE, WI",1993,114.0,"Wadable",51,3,"Reference",1,0,1
76,5420680,"WAPSIPINICON RIVER NEAR TRIPOLI, IA",1996,897.0,"Wadable",47,2,"AG",2,2,1
27,3275000,"WHITEWATER RIVER NEAR ALPINE, IN",1999,1370.1,"Wadable",55,2,,,,1
48,5062500,"WILD RICE RIVER AT TWIN VALLEY, MN",1993,2407.1,"Wadable",48,2,"Reference",0,0,0
55,5464220,"WOLF CREEK NEAR DYSART, IA",1996,775.2,"Wadable",47,2,"AG",2,2,2
63,,,,,,,,,,,
