STATION,LOGNUM,WATERBODY,Town,SITEDIR,ECOREGION,BiophysicalRegion,HUC.EIGHT,Class,SAMPLEMETHOD,WIDTH,DEPTH,FLOW,THERMO,SPC,DO,I01,I02,I03,I04,I05,I06,I07,I08,I09,I11,I12,I13,I15,I17,I18,I19,I21,I23,I25,I26,I28,I30,PA1,PB1,PC1,PNA1,PABC,PNA,PAB,PCNA,PA,PBCNA
20,23,East Branch Sebasticook,Corinna,0.13 km below Corinna POTW,e,Central Interior,1030003,NA,Basket or Artificial Substrate,9,30,12.19,26,,,11,4,0,0,0.844,5.758,0.909,0.75,0,0,0.333,0,0,0,0,1,0,0,0.667,0,0,0,0,0,0,1,0,1,0,1,0.006,0.994
21,24,Kennebec River,Anson,1.6 km above Rt. 148 bridge,e,Western Foothills,1030003,,Cone,125,500,19.3,23,,,88.333,36,0.333,12.667,3.79,5.658,0.162,0.306,2.744,20.923,1.727,0.03,0.333,3.333,0.143,19,0.333,0.028,28.256,3.667,0.643,0.286,0.153,0.36,0.474,0.012,1,0,0.318,0.682,0.173,0.827
22,25,Kennebec River,Madison,6.3 km below Anson-Madison POTW,e,Western Foothills,1030003,B,Basket or Artificial Substrate,150,70,59.94,23.5,,,2471.333,51,10.667,362.333,3.184,3.3,0.039,0.353,356.162,205.841,1.5,0,10.333,3.667,0.147,27,0,0.078,211.175,27.164,1,0.571,0.555,0.439,0.006,0,1,0,1,0,0.979,0.021
23,26,Kennebec River,Skowhegan,0.5 km below Skowhegan POTW,e,Western Foothills,1030003,B,Cone,125,182,29.46,23,,,225,40,4.333,48,4.311,5.518,0.188,0.35,6.68,18.986,1.357,0.073,4.333,11.333,0.213,19,1.667,0.05,31.653,23.823,0.571,0.143,0.312,0.564,0.125,0,1,0,0.969,0.031,0.137,0.863
24,27,Kennebec River,Fairfield,9.7 km below S.D. Warren discharge; 0.3 km above Shawmut dam,e,Central Interior,1030003,,Cone,350,183,6.6,25,,,28,23,0.667,0.333,4.096,6.536,0.357,0.261,0,0,1.333,0.143,0.667,2.381,0.012,8,1.429,0.087,5.714,0.333,0.214,0.143,0.015,0.059,0.358,0.568,0,1,0,1,0.015,0.985
25,28,East Branch Sebasticook,Dexter,0.13 km below Wassookeag Lake dam,e,Western Foothills,1030003,,Basket or Artificial Substrate,4,50,23.47,27,,,72,12,0.333,33,1.964,4.436,0.028,0.333,5.333,26,1.25,0,0,0.333,0.458,5,0,0.083,27,0,0.143,0,0.178,0.404,0.377,0.041,0.999,0.001,0.382,0.618,0.011,0.989
26,29,East Branch Sebasticook,Dexter,50 m above Moody Mills Rd. bridge,e,Western Foothills,1030003,A,Basket or Artificial Substrate,8,50,12.19,24,,,339.333,28,0.667,245.667,2.828,4.23,0.092,0.393,40.667,9.333,1.273,0,0,3.443,0.724,14,1.033,0.071,17.941,151,0.571,0.143,0.243,0.583,0.174,0,1,0,0.993,0.007,0.093,0.907
27,30,Sebasticook River,Pittsfield,2.1 km below Rt.100 crossing,e,Central Interior,1030003,B,Basket or Artificial Substrate,35,50,12.19,26,,,727,43,5.333,194,3.061,5.024,0.376,0.326,74.573,128.094,1.357,0,5.333,14.51,0.267,19,0,0.047,138.217,58.801,0.714,0,0.19,0.733,0.077,0,1,0,0.998,0.002,0.021,0.979
28,31,Sebasticook River,Palmyra,6.6 km below Hartland POTW; below Rt.2 crossing,e,Central Interior,1030003,,Cone,0,600,0.1,27,,,146.333,17,0.333,27,1.983,7.749,0.052,0.118,0.667,0,5,0.007,0.333,0,0.185,10,0,0.059,0,0,0.5,0,0,0.019,0.635,0.346,0.005,0.995,0.003,0.997,0.094,0.906
29,32,Kennebec River,Augusta,0.4 km above Edwards dam,e,Central Interior,1030003,,Cone,250,800,16.76,26,,,39.667,25,0.333,2.667,3.188,6.454,0.092,0.24,0,2.333,1.5,0.034,0,1,0.067,9,1,0.04,2.667,0,0.357,0,0.016,0.088,0.464,0.432,0.003,0.997,0.001,0.999,0.011,0.989
30,33,Bond Brook,Augusta,24 m above I-95 overpass,e,Central Interior,1030003,A,Basket or Artificial Substrate,5.5,30.5,26.41,17,,,565.333,32,5.333,225.333,3.71,4.255,0.177,0.375,63.745,78.922,1.417,0,1.333,34.667,0.399,17,0,0.063,101.589,87.032,0.571,0.143,0.355,0.592,0.053,0,1,0,0.999,0.001,0.133,0.867
31,34,Bond Brook,Augusta,40 m above Rt. 27 bridge crossing,e,Central Interior,1030003,C,Basket or Artificial Substrate,5.5,20,43.68,18,,,588,37,1.333,25.333,3.615,5.17,0.424,0.622,123.068,139.599,0.478,0.034,0,9.333,0.043,11,1.333,0.027,234.266,10.667,0.429,0.143,0.073,0.459,0.467,0.001,1,0,0.038,0.962,0.013,0.987
32,35,Kennebec River,Augusta,3.9 km below Augusta POTW,e,Central Interior,1030003,,Cone,250,200,11.17,26,,,272.333,38,0.333,6.333,2.911,5.379,0.887,0.368,0.667,1.333,1.071,0,0.333,75,0.023,15,70.667,0.026,40,4.667,0.571,0,0.064,0.389,0.508,0.038,0.999,0.001,0.016,0.984,0.01,0.99
33,36,Wilson Stream,Wilton,0.3 km below Wilson Pond Outlet,w,Western Mountains,1030003,B,Basket or Artificial Substrate,5.5,30,32.51,23,,,236.667,25,0.667,57,3.075,4.748,0.194,0.44,43.333,69,1,0,0,0.333,0.241,11,0.333,0.04,76.333,0,0.357,0,0.126,0.48,0.394,0.001,1,0,0.286,0.714,0.011,0.989
34,37,Wilson Stream,Wilton,0.96 km below Wilton Tannery (closed) discharge,e,Western Mountains,1030003,C,Basket or Artificial Substrate,9,20,24.89,19,,,2534.333,39,18,341.667,1.962,4.075,0.151,0.308,1733,17,1.583,0,17.333,2.667,0.135,19,0,0.077,173.333,63.333,0.786,0.429,0.012,0.421,0.564,0.003,1,0,0.191,0.809,0.157,0.843
35,38,Messalonski Stream,Oakland,0.94 km below Snow Pond dam,e,Central Interior,1030003,A,Basket or Artificial Substrate,20,20,49.78,24.5,,,926,19,18,416,3.473,3.718,0.067,0.263,175.915,36.085,2.4,0,18,28,0.449,12,0,0.053,58.085,152,0.5,0.286,0.323,0.639,0.038,0,1,0,0.999,0.001,0.253,0.747
36,39,Messalonski Stream,Oakland,2.5 km below Oakland POTW,e,Central Interior,1030003,B,Basket or Artificial Substrate,10,40,51.3,24,,,1397.333,22,1.333,125.333,2.533,4.7,0.274,0.545,594.641,277.359,0.583,0,1.333,24,0.09,7,0,0.045,546.692,37.333,0.357,0,0.005,0.193,0.801,0.001,1,0,0.003,0.997,0.002,0.998
37,40,Moose River,Jackman,Directly below outlet of Wood Pond,w,Western Mountains,1030001,,Basket or Artificial Substrate,55,152.4,0.51,23,,,40.667,25,0.667,1,3.572,5.447,0.025,0.16,1.667,0.667,1.75,0.082,0.667,0,0.025,7,0,0.04,1,0,0.214,0,0.227,0.236,0.251,0.287,0.032,0.968,0.015,0.985,0.042,0.958
38,41,Moose River,Jackman,.6 km below  Rt. 201 crossing,w,Western Mountains,1030001,,Basket or Artificial Substrate,40,100,11.18,22.5,,,86.667,30,0.333,5,3.44,6.056,0.123,0.133,0.716,8.951,2.5,0.069,0.333,0,0.058,10,0,0.033,17.951,0.667,0.357,0,0.05,0.228,0.592,0.131,0.797,0.203,0.006,0.994,0.007,0.993
39,42,Kennebec River,Bingham,0.48 km below Bingham POTW,e,Central Mountains,1030003,,Basket or Artificial Substrate,150,100,76.88,22,,,314.5,22,0,40,2.238,4.09,0.145,0.5,200.802,7.698,0.818,0,0,2.193,0.127,9,0,0,23.048,2,0.357,0,0.001,0.018,0.866,0.115,0.981,0.019,0.005,0.995,0.004,0.996
40,43,Kennebec River,Bingham,1.1 km above Bingham POTW,e,Central Mountains,1030003,,Basket or Artificial Substrate,125,80,57.4,22,,,335.333,20,2.667,21.667,1.883,3.934,0.078,0.5,103.087,1.58,1,0,2.667,0.333,0.065,10,0,0.1,4.58,1.667,0.357,0.143,0.246,0.613,0.138,0.004,1,0,0.841,0.159,0.093,0.907
41,45,Androscoggin River,Mexico,4.2 km below Boise Cascade mill,w,Western Mountains,1040002,C,Basket or Artificial Substrate,30,20,39.99,0,,,2864,25,1.333,545.333,2.026,4.261,0.019,0.44,846.005,1359.328,0.909,0.001,0,0,0.19,10,0,0.04,1365.995,180,0.5,0,0.007,0.253,0.738,0.001,1,0,0.01,0.99,0.002,0.998
42,46,Androscoggin River,Rumford,"20 m below Rt 232 bridge, above Boise Cascade mill",w,Western Mountains,1040002,B,Basket or Artificial Substrate,150,20,9.99,0,,,436,51,29.333,94,2.935,4.406,0.094,0.392,15.586,225.747,0.9,0.002,2,1.333,0.216,18,0.333,0.059,230.747,48.222,0.714,0,0.668,0.329,0.003,0,1,0,0.999,0.001,0.434,0.566
43,47,Little Androscoggin River,Paris,45 m above POTW,w,Southwest Interior,1040002,A,Basket or Artificial Substrate,20,20,39.99,,,,267,31,45,72,3.562,2.795,0.082,0.226,89,2,2.286,0,12,1,0.27,16,0,0.129,2,20,0.714,0.286,0.896,0.104,0,0,1,0,1,0,0.997,0.003
44,48,Little Androscoggin River,Paris,"Rt 26 USGS gaging cable, Bisco Falls",w,Western Mountains,1040002,A,Basket or Artificial Substrate,6,30,39.99,0,,,208.667,32,16.333,134.667,3.251,2.135,0.069,0.281,26.225,1.108,2.111,0,13,2.098,0.645,19,1.398,0.094,1.108,17.296,0.857,0.286,0.947,0.053,0,0,1,0,1,0,0.999,0.001
45,49,Little Androscoggin River,Paris,Below Norway and So. Paris POTW at Rt 26,w,Southwest Interior,1040002,B,Basket or Artificial Substrate,20,30,39.99,,,,367.333,65,16.667,55,4.063,4.44,0.25,0.492,52.435,106.899,0.688,0.009,2,27,0.15,22,2.333,0.077,115.565,18.333,0.929,0.286,0.811,0.188,0.001,0,1,0,0.999,0.001,0.984,0.016
46,50,Little Androscoggin River,Paris,"Above Norway POTW, below So. Paris POTW at Oxford St. gravel pit",w,Southwest Interior,1040002,C,Basket or Artificial Substrate,10,20,39.99,,,,3372,38,32,44,3.504,5.532,0.779,0.579,182.531,25.469,0.455,0.005,32,1116.796,0.013,10,265.706,0.079,116.806,24,0.5,0.286,0.035,0.717,0.247,0,1,0,0.065,0.935,0.04,0.96
47,51,Limestone Stream,Limestone,2.4 km below Limestone POTW,e,Aroostook Lowlands,1010004,B,Basket or Artificial Substrate,8,80,34.44,20.5,,,716.667,34,5,29.667,2.529,3.923,0.12,0.471,442.912,37.088,0.813,0.004,5,6.644,0.041,13,0,0.059,79.534,0,0.429,0.286,0.239,0.644,0.116,0.001,1,0,0.914,0.086,0.196,0.804
20,52,East Branch Sebasticook,Corinna,0.13 km below Corinna POTW,e,Central Interior,1030003,NA,Basket or Artificial Substrate,9,3,,26,,,15.5,7,0,0,2.207,6.381,0.677,0.571,0,0,,0.194,0,0.5,0,0,0,0,2.5,0,0,0,0,0,0,1,0,1,0,1,0.004,0.996
48,53,Goosefare Brook,Saco,75 m below Jenkins Rd. Crossing,s,South Coastal Region,1060001,A,Basket or Artificial Substrate,2,45.7,3.56,20,71.5,,100.333,38,11,5.333,4.211,4.236,0.492,0.474,0,0,0.722,0.003,0,1.333,0.053,13,20,0.053,10,0.333,0.357,0.286,0.788,0.205,0.007,0,1,0,0.988,0.012,0.961,0.039
49,54,Goosefare Brook,Saco,0.5 km below I-195,s,South Coastal Region,1060001,NA,Basket or Artificial Substrate,2,54.8,3.56,25,370,,489,24,0,0,1.417,5.932,0.007,0.292,0,0,,0.951,0,0,0,0,7.586,0,2.037,0,0,0,0,0,0,1,0,1,0,1,0.005,0.995
50,55,Goosefare Brook,Saco,50 m above Rt.1 bridge,s,South Coastal Region,1060001,NA,Basket or Artificial Substrate,2.5,20,13.71,26,300,,144.667,28,0,0.333,2.301,7.439,0.253,0.536,0,0,0.133,0.009,0,3,0.002,2,8.333,0,4,0,0.071,0,0,0,0.01,0.99,0,1,0,1,0.005,0.995
51,56,Salmon Falls River,Berwick,upstrm on ME side of river to first bridge crossing above town,s,Southwest Interior,1060003,,Cone,35,500,7.11,25,50,,42.333,29,0,8.667,4.213,6.5,0.354,0.207,0,0.333,1.833,0.016,0,5.581,0.205,11,1.395,0,9.403,0,0.357,0,0,0.004,0.755,0.24,0.155,0.845,0.001,0.999,0.008,0.992
52,57,Salmon Falls River,Berwick,50 m below Berwick POTW,s,Southwest Interior,1060003,B,Cone,62,100,2.54,25,110,,771.333,51,0.333,66,3.049,5.958,0.794,0.431,0,0.667,0.909,0.001,0.333,202.73,0.086,20,12.779,0.02,392.311,31.157,0.643,0.143,0.031,0.422,0.545,0.002,1,0,0.11,0.89,0.014,0.986
53,58,Great Works River,North Berwick,"60 m above Pratt Whitney outfall, about 0.8 km above Rt. 9 bridge",s,South Coastal Region,1060003,B,Cone,11,90,4.06,21,6.5,,259.333,65,2.667,47.333,3.865,5.701,0.449,0.385,0,0.667,0.84,0,1.667,80.428,0.183,21,1.026,0.062,24.005,25.708,0.929,0,0.456,0.507,0.037,0,1,0,0.998,0.002,0.288,0.712
54,59,Great Works River,North Berwick,"70 m below Pratt Whitney, about 0.8 km above Rt. 9 bridge",s,South Coastal Region,1060003,,Cone,60,120,0.1,21,200,,196.667,57,0,86.333,3.994,4.986,0.066,0.298,0,0,1,0,0,4.216,0.439,17,0.703,0,3.514,1.182,0.643,0,0.062,0.125,0.803,0.01,1,0,0.083,0.917,0.022,0.978
55,60,Androscoggin River,Lewiston,Above Lewiston/Auburn POTW,e,Central Interior,1040002,C,Cone,200,100,17.27,24,86.7,,259.333,23,0,19.333,2.047,5.271,0.149,0.435,8.667,178.667,1,0.001,0,9.333,0.075,10,4,0,189.667,4,0.214,0,0,0.006,0.61,0.385,0.051,0.949,0,1,0.002,0.998
56,61,Androscoggin River,Lewiston,0.3 km below L/A POTW,e,Central Interior,1040002,C,Cone,120,200,32.51,24,91.8,,618.667,27,0,21.333,2.754,4.554,0.261,0.481,4.513,99.282,0.692,0.009,0,57.333,0.034,9,5.333,0,136.615,1.333,0.286,0,0.001,0.016,0.917,0.066,0.996,0.004,0,1,0.002,0.998
57,62,Androscoggin River,Lewiston,2.1 km below L/A POTW,e,Central Interior,1040002,C,Cone,130,260,30.48,24,128,,427.667,33,0,19.667,2.709,4.882,0.147,0.545,10.92,203.548,0.611,0,0,17.333,0.046,11,4.667,0,215.548,1.957,0.286,0,0.001,0.017,0.875,0.108,0.992,0.008,0,1,0.002,0.998
58,63,Androscoggin River,Brunswick,Pejepscott - 0.32 km below mill and dam,e,Midcoast Region,1040002,C,Cone,120,300,33.53,25,150,,1797.333,23,0,84,2.017,4.137,0.038,0.348,54.694,755.589,1.5,0.001,0,34.667,0.047,12,4,0,760.922,36,0.286,0,0.001,0.022,0.934,0.044,0.999,0.001,0.001,0.999,0.001,0.999
59,64,Medomak River,Waldoboro,Above Medomak Canning (closed),e,Penobscot Bay Region,1050003,A,Basket or Artificial Substrate,11,50,17.27,24,45,,233.667,34,8,46.667,3.149,2.221,0.103,0.294,5.136,3.951,1.9,0,8,9.333,0.2,19,0.333,0.059,3.951,24.133,0.857,0.286,0.932,0.067,0,0,1,0,1,0,0.999,0.001
60,65,Medomak River,Waldoboro,Below Medomak Canning,e,Penobscot Bay Region,1050003,A,Basket or Artificial Substrate,13,50,17,25,59.4,,289.333,29,10,109,3.745,3.904,0.207,0.31,54.393,7.941,1.778,0,10,11.333,0.377,16,0,0.069,7.941,25.578,0.714,0.286,0.585,0.4,0.015,0,1,0,1,0,0.884,0.116
61,66,Androscoggin River,Brunswick,Below Brunswick  POTW,e,Midcoast Region,1040002,,Cone,300,200,10.16,25,140,,802,50,0,34.333,3.074,5.895,0.662,0.46,5.181,168.381,0.696,0.002,0,408,0.043,16,112,0,207.381,14.667,0.571,0,0,0.015,0.942,0.043,0.999,0.001,0.001,0.999,0.004,0.996
62,67,Penobscot River,Orono,1.2 km above confluence with Stillwater R.,e,Central Interior,1020005,B,Basket or Artificial Substrate,110,100,2.23,25,98.8,,81.667,26,7,19.333,3.421,3.903,0.102,0.269,31.664,6.959,2.286,0.004,7,0,0.237,16,0,0.115,6.959,4,0.643,0.429,0.761,0.23,0.009,0,1,0,0.999,0.001,0.991,0.009
63,68,Millinocket Stream,Millinocket,1 km below Great Northern Pulp and Paper,e,Western Foothills,1020001,C,Basket or Artificial Substrate,60,60,0.4,23,41.6,,1364,27,17.333,349.333,2.962,4.136,0.028,0.222,468.333,251.667,2.5,0,17.333,13.333,0.256,15,2.667,0.074,254.333,44,0.714,0,0.175,0.738,0.087,0,1,0,0.967,0.033,0.017,0.983
64,69,Little Androscoggin River,Auburn,"Near Littlefield Corner, above Pioneer Plastics",e,Southwest Interior,1040002,NA,Basket or Artificial Substrate,28,70.1,55.4,23,137.8,,992,19,0.667,41.667,2.043,4.024,0.016,0.368,379.787,269.08,1.571,0,0.667,3,0.042,11,0,0.053,269.08,30.333,0.429,0.143,0.045,0.39,0.552,0.013,1,0,0.107,0.893,0.01,0.99
65,70,Little Androscoggin River,Auburn,behind Pioneer Rx plant - follow path out to 2d outcropping of boulders,e,Southwest Interior,1040002,B,Basket or Artificial Substrate,13,70.1,35.56,24,135.2,,485.667,28,0.333,48.333,2.788,4.645,0.194,0.429,148.734,153.776,1.167,0,0.333,28.667,0.1,14,0,0.036,158.109,3,0.571,0,0.054,0.381,0.561,0.004,1,0,0.164,0.836,0.007,0.993
66,84,Stroudwater River,Gorham,"From Rt 22, about 150 m below Maine Metal Finishing site",s,South Coastal Region,1060001,NA,Basket or Artificial Substrate,8,70,6.71,20,,,77.333,35,0,15.667,3.663,5.254,0.168,0.4,1.216,9.118,0.929,0.004,0,1.333,0.203,13,0.333,0,13.451,8.333,0.429,0,0.004,0.022,0.857,0.117,0.96,0.04,0.002,0.998,0.006,0.994
67,85,Stroudwater River,Gorham,0.25 km above Maine Metal Finishing site,s,South Coastal Region,1060001,B,Basket or Artificial Substrate,4,40,12.19,20,,,1160.667,62,2.667,321,3.038,4.684,0.169,0.387,66.283,502.05,1.083,0,1,15.883,0.277,26,0.338,0.065,511.85,231.381,0.929,0.143,0.384,0.595,0.021,0,1,0,1,0,0.23,0.77
68,86,Cooks Brook,Waterboro,0.4 km below Rt. 202 crossing,w,Southwest Interior,1060002,NA,Basket or Artificial Substrate,1.5,25,0.1,13,,,15.333,7,0,0,1.478,6.75,0.261,0.714,0,0,0.2,0,0,0,0,1,0,0,0.333,0,0,0,0,0,0,1,0,1,0,1,0.007,0.993
69,87,Little River,Standish,Above GTE; 0.4 km above bridge at Shaw Mills.,w,Southwest Interior,1060001,B,Basket or Artificial Substrate,1,20,6.71,18,,,139.333,40,1.667,51,3.899,4.302,0.423,0.525,0,0,0.667,0,0.333,6.406,0.366,14,1.349,0.05,23.6,20,0.571,0.143,0.618,0.348,0.034,0,1,0,0.995,0.005,0.651,0.349
70,88,Little River,Standish,Below GTE; 10 m below culvert at Shaw Mills crossing,w,Southwest Interior,1060001,B,Basket or Artificial Substrate,1,30,12.19,19,,,271.667,34,3,94.667,3.911,4.569,0.509,0.559,0,1.667,0.526,0,0,30.411,0.348,10,24.477,0.029,36.528,41.333,0.5,0.143,0.36,0.548,0.092,0,1,0,0.94,0.06,0.152,0.848
71,89,Presumpscot River,Westbrook,0.3 km above Saccarappa Dam,s,South Coastal Region,1060001,,Cone,40,900,0.1,27,,,34.333,24,0,2.333,4.091,6.281,0.194,0.292,0.519,1.556,1.143,0.019,0,0,0.068,8,0,0,2.222,1,0.143,0,0,0.002,0.404,0.594,0,1,0.001,0.999,0.005,0.995
72,90,Presumpscot River,Westbrook,3.2 km below S D Warren Co.; just above Rt. 302 (Riverton) Bridge,s,South Coastal Region,1060001,,Cone,40,900,0.1,27,,,122,22,0,0.333,2.553,5.339,0.686,0.273,1.875,11.25,1.333,0.011,0,0.337,0.003,8,0,0,12.937,0,0.071,0,0,0,0.023,0.977,0,1,0.001,0.999,0.003,0.997
73,91,Sheepscot River,Whitefield,"Below Coopers Mills Dam, above Rt. 32",e,Central Interior,1050003,A,Basket or Artificial Substrate,11,45.7,72.13,25,,,220.333,32,11.333,39.667,3.082,3.662,0.124,0.406,65.509,0.824,1.154,0,11.333,0,0.18,15,0,0.063,1.157,13.963,0.571,0.286,0.703,0.29,0.007,0,1,0,0.999,0.001,0.962,0.038
